name	unique reads 32151444_EXO_S22	32151444_EXO_S22	32151444_EXO_S22 (mult. map. adj.)	PM32151444_EXO_S22(lib)	32151444_EXO_S22 (total)	coordinateString 32151444_EXO_S22	32151444_EXO_S22 (lib)	32151444_EXO_S22 (total)
hsa-let-7f-5p	183	28096	14201.62	25699.4	5870.49	X:hsa;hsa-let-7f-2,53557199,53557220,-	12990.214237910339	2967.342196458038
hsa-let-7f-5p	177	27825	13931.37	25451.52	5813.87	9:hsa;hsa-let-7f-1,94176353,94176374,+	12743.016649058698	2910.8750880002367
hsa-let-7c-5p	244	21144	20340.37	19340.41	4417.91	21:hsa;hsa-let-7c,16539838,16539859,+	18605.32690604357	4249.9970051364
hsa-miR-21-5p	236	19730	19730	18047.02	4122.46	17:hsa;hsa-mir-21,59841273,59841294,+	18047.024710611888	4122.4645693706525
hsa-miR-92a-3p	234	15125	7965	13834.83	3160.28	13:hsa;hsa-mir-92a-1,91351361,91351382,+	7285.582960974338	1664.2387377109603
hsa-miR-92a-3p	204	14350	7190	13125.94	2998.35	X:hsa;hsa-mir-92a-2,134169585,134169606,-	6576.690708023288	1502.3071593398372
hsa-let-7e-5p	207	13229	13145.95	12100.56	2764.12	19:hsa;hsa-let-7e,51692793,51692814,+	12024.596274428199	2746.767009919824
hsa-miR-30a-3p	213	12662	12653.5	11581.93	2645.65	6:hsa;hsa-mir-30a,71403597,71403618,-	11574.152416407882	2643.872550863231
hsa-miR-200b-3p	242	10789	10787	9868.69	2254.3	1:hsa;hsa-mir-200b,1167160,1167181,+	9866.865461397387	2253.8786269539396
hsa-miR-27b-3p	179	10502	10269.17	9606.18	2194.33	9:hsa;hsa-mir-27b,95085505,95085525,+	9393.203476468589	2145.680473405751
hsa-miR-200c-3p	190	10378	10376	9492.75	2168.42	12:hsa;hsa-mir-200c,6963742,6963764,+	9490.923892413022	2168.0026544242214
hsa-miR-99b-5p	155	9686	9686	8859.78	2023.83	19:hsa;hsa-mir-99b,51692618,51692639,+	8859.781112366281	2023.831313680899
hsa-miR-191-5p	135	9104	9104	8327.43	1902.23	3:hsa;hsa-mir-191,49020633,49020655,-	8327.425897892073	1902.225921923488
hsa-miR-125b-5p	166	8849	4439	8094.18	1848.95	11:hsa;hsa-mir-125b-1,122099771,122099792,-	4060.351884967368	927.5022921153738
hsa-let-7g-5p	119	8835	8793.58	8081.37	1846.02	3:hsa;hsa-let-7g,52268282,52268303,-	8043.487871844475	1837.366230586667
hsa-miR-125b-5p	164	8820	4410	8067.65	1842.89	21:hsa;hsa-mir-125b-2,16590253,16590274,+	4033.8255942117803	921.4429169247124
hsa-miR-26b-5p	123	8416	8416	7698.11	1758.47	2:hsa;hsa-mir-26b,218402657,218402677,+	7698.112517207787	1758.4724691243491
hsa-miR-320a-3p	221	8176	7615.81	7478.58	1708.33	8:hsa;hsa-mir-320a,22245007,22245028,-	6966.181810499923	1591.2782388275766
hsa-miR-99a-5p	152	8077	8071	7388.03	1687.64	21:hsa;hsa-mir-99a,16539101,16539122,+	7382.541127184417	1686.386798752688
hsa-miR-30e-5p	172	7398	7307	6766.95	1545.77	1:hsa;hsa-mir-30e,40754371,40754392,+	6683.710570726866	1526.7536040745745
hsa-miR-23b-3p	165	7225	7135.5	6608.71	1509.62	9:hsa;hsa-mir-23b,95085265,95085287,+	6526.839575396408	1490.9197128608357
hsa-miR-30b-5p	94	7115	7115	6508.09	1486.64	8:hsa;hsa-mir-30b,134800536,134800557,-	6508.08823193125	1486.6363614329543
hsa-miR-23a-3p	114	5677	5590	5192.75	1186.17	19:hsa;hsa-mir-23a,13836631,13836651,-	5113.17121805983	1167.996803993003
hsa-miR-151a-5p	49	5320	5173.5	4866.2	1111.58	8:hsa;hsa-mir-151a,140732574,140732594,-	4732.198800828717	1080.97163961678
hsa-let-7d-5p	99	5043	4920.7	4612.83	1053.7	9:hsa;hsa-let-7d,94178841,94178862,+	4500.962721414491	1028.15060347198
hsa-miR-423-5p	125	4801	4801	4391.47	1003.14	17:hsa;hsa-mir-423,30117095,30117117,+	4391.4731695716	1003.1400100125951
hsa-miR-203a-3p	91	3838	3838	3510.62	801.93	14:hsa;hsa-mir-203a,104117469,104117490,+	3510.617376549844	801.9269648882191
hsa-miR-200a-3p	90	3763	3745	3442.01	786.26	1:hsa;hsa-mir-200a,1167916,1167937,+	3425.550306195718	782.4951754836844
hsa-let-7d-3p	97	3161	3161	2891.37	660.47	9:hsa;hsa-let-7d,94178895,94178916,+	2891.365692359056	660.4718957820899
hsa-miR-222-3p	91	2950	2950	2698.36	616.38	X:hsa;hsa-mir-222,45747083,45747103,-	2698.364059620125	616.384717670726
hsa-miR-221-3p	92	2891	2891	2644.4	604.06	X:hsa;hsa-mir-221,45746221,45746243,-	2644.3967784277224	604.0570233173115
hsa-miR-1260b	9	2307	1365	2110.21	482.03	11:hsa;hsa-mir-1260b,96341447,96341465,+	1248.5650648750748	285.2085219052681
hsa-miR-103a-3p	69	2253	1103.83	2060.82	470.75	20:hsa;hsa-mir-103a-2,3917541,3917563,+	1009.6759981279145	230.63932119396713
hsa-miR-103a-3p	68	2251	1101.83	2058.99	470.33	5:hsa;hsa-mir-103a-1,168560943,168560965,-	1007.8465987654602	230.2214332497836
hsa-miR-429	47	2179	2179	1993.13	455.29	1:hsa;hsa-mir-429,1169055,1169076,+	1993.1306053939838	455.2889151879702
hsa-miR-1260a	8	2160	1218	1975.75	451.32	14:hsa;hsa-mir-1260a,77266231,77266248,+	1114.1042117346822	254.49375800777773
hsa-miR-29a-3p	78	2086	2085	1908.06	435.86	7:hsa;hsa-mir-29a,130876788,130876809,-	1907.1488353586308	435.64818181134365
hsa-miR-182-5p	69	2024	2024	1851.35	422.9	7:hsa;hsa-mir-182,129770405,129770428,-	1851.3521548037738	422.9025995137456
hsa-miR-205-5p	65	1989	1989	1819.34	415.59	1:hsa;hsa-mir-205,209432166,209432187,+	1819.3376659608232	415.5895604905336
hsa-miR-100-5p	81	1901	1894	1738.84	397.2	11:hsa;hsa-mir-100,122152241,122152262,-	1732.441196244243	395.73988314181526
hsa-miR-22-3p	53	1878	1878	1717.81	392.4	17:hsa;hsa-mir-22,1713955,1713976,-	1717.8060013446084	392.39677958834693
hsa-miR-423-3p	91	1774	1774	1622.68	370.67	17:hsa;hsa-mir-423,30117131,30117153,+	1622.6772344969836	370.6666064908027
hsa-miR-92b-3p	94	1757	1757	1607.13	367.11	1:hsa;hsa-mir-92b,155195237,155195258,+	1607.1273399161219	367.11455896524257
hsa-miR-27a-3p	67	1727	1499.17	1579.69	360.85	19:hsa;hsa-mir-27a,13836490,13836510,-	1371.2872721063854	313.24183816091414
hsa-let-7i-5p	58	1683	1680	1539.44	351.65	12:hsa;hsa-let-7i,62603691,62603712,+	1536.6954644616305	351.0258731141762
hsa-miR-192-5p	85	1622	1619.5	1483.64	338.91	11:hsa;hsa-mir-192,64891160,64891180,-	1481.3561337473873	338.384762802624
hsa-miR-101-3p	56	1545	791.5	1413.21	322.82	9:hsa;hsa-mir-101-2,4850345,4850365,+	723.9847976912979	165.37915391063717
hsa-miR-101-3p	52	1507	753.5	1378.45	314.88	1:hsa;hsa-mir-101-1,65058480,65058500,-	689.2262098046658	157.43928297114985
hsa-miR-98-5p	56	1506	1426.15	1377.54	314.67	X:hsa;hsa-mir-98,53556244,53556265,-	1304.4989503821157	297.98544579867996
hsa-miR-148a-3p	50	1476	1476	1350.1	308.4	7:hsa;hsa-mir-148a,25949962,25949983,-	1350.0967294912896	308.4013028074548
hsa-miR-183-5p	39	1456	1456	1331.8	304.22	7:hsa;hsa-mir-183,129774931,129774952,-	1331.8027358667464	304.22242336561936
hsa-miR-181a-5p	63	1442	721	1319	301.3	9:hsa;hsa-mir-181a-2,124692480,124692502,+	659.498470164783	150.64860387816728
hsa-miR-181a-5p	63	1442	721	1319	301.3	1:hsa;hsa-mir-181a-1,198859067,198859089,-	659.498470164783	150.64860387816728
hsa-miR-151a-3p	77	1367	1367	1250.39	285.63	8:hsa;hsa-mir-151a,140732610,140732630,-	1250.394464237529	285.6264098494517
hsa-miR-24-3p	50	1341	674.5	1226.61	280.19	9:hsa;hsa-mir-24-1,95086064,95086085,+	616.9649349877201	140.9327091758999
hsa-miR-24-3p	48	1333	666.5	1219.29	278.52	19:hsa;hsa-mir-24-2,13836336,13836357,-	609.6473375379028	139.2611573991657
hsa-miR-194-5p	38	993	721	908.3	207.48	11:hsa;hsa-mir-194-2,64891369,64891390,-	659.498470164783	150.64860387816728
hsa-miR-128-3p	43	978	565	894.58	204.35	2:hsa;hsa-mir-128-1,135665446,135665466,+	516.805319893346	118.05334423185091
hsa-miR-25-3p	34	975	975	891.83	203.72	7:hsa;hsa-mir-25,100093611,100093632,-	891.832189196482	203.72037278947724
hsa-miR-9-5p	32	974	324.67	890.92	203.51	1:hsa;hsa-mir-9-1,156420356,156420378,-	296.9724965050847	67.83714293912843
hsa-miR-9-5p	32	974	324.67	890.92	203.51	5:hsa;hsa-mir-9-2,88666868,88666890,-	296.9724965050847	67.83714293912843
hsa-miR-9-5p	32	974	324.67	890.92	203.51	15:hsa;hsa-mir-9-3,89368032,89368054,+	296.9724965050847	67.83714293912843
hsa-miR-652-3p	27	966	966	883.6	201.84	X:hsa;hsa-mir-652,110055389,110055409,+	883.5998920654375	201.8398770406513
hsa-miR-320b	45	965	253.65	882.69	201.63	1:hsa;hsa-mir-320b-2,224257080,224257101,-	232.0103073586936	52.997892292606096
hsa-miR-320b	42	955	243.65	873.54	199.54	1:hsa;hsa-mir-320b-1,116671787,116671808,+	222.86331054642199	50.908452571688386
hsa-miR-30e-3p	39	954	945.5	872.62	199.33	1:hsa;hsa-mir-30e,40754413,40754434,+	864.8485486002808	197.55652561276997
hsa-miR-16-5p	24	927	467.5	847.93	193.69	3:hsa;hsa-mir-16-2,160404754,160404775,+	427.6221009736978	97.68130695290318
hsa-miR-16-5p	24	920	460.5	841.52	192.23	13:hsa;hsa-mir-16-1,50048986,50049007,-	421.21920320510765	96.2186991482608
hsa-miR-31-5p	42	911	911	833.29	190.35	9:hsa;hsa-mir-31,21512122,21512142,-	833.2914095979437	190.34795857560385
hsa-miR-93-5p	25	887	887	811.34	185.33	7:hsa;hsa-mir-93,100093778,100093800,-	811.3386172484918	185.33330324540134
hsa-miR-186-5p	24	865	865	791.22	180.74	1:hsa;hsa-mir-186,71067645,71067666,-	791.2152242614943	180.73653585938237
hsa-miR-196a-5p	34	850	488.83	777.49	177.6	12:hsa;hsa-mir-196a-2,53991762,53991783,+	447.13569417321054	102.13877835752764
hsa-miR-128-3p	35	826	413	755.54	172.59	3:hsa;hsa-mir-128-2,35744527,35744547,+	377.7709683468175	86.29386047390165
hsa-miR-375-3p	24	801	801	732.67	167.36	2:hsa;hsa-mir-375,219001684,219001705,-	732.6744446629559	167.364121645509
hsa-miR-196a-5p	24	722	360.83	660.41	150.86	17:hsa;hsa-mir-196a-1,48632496,48632517,-	330.0541349761339	75.39394992978089
hsa-miR-200b-5p	25	718	718	656.75	150.02	1:hsa;hsa-mir-200b,1167124,1167145,+	656.7543711211016	150.02177196189197
hsa-miR-320c	32	685	148.98	626.57	143.13	18:hsa;hsa-mir-320c-2,24321716,24321735,+	136.27174072358403	31.128423213667336
hsa-miR-141-3p	34	662	644	605.53	138.32	12:hsa;hsa-mir-141,6964155,6964176,+	589.0665947102917	134.55991802710088
hsa-miR-320c	27	644	140.65	589.07	134.56	18:hsa;hsa-mir-320c-1,21683559,21683578,+	128.64924338002436	29.387223446235904
hsa-miR-30c-2-3p	34	640	640	585.41	133.72	6:hsa;hsa-mir-30c-2,71377006,71377027,-	585.407795985383	133.72414213873378
hsa-miR-574-3p	27	632	632	578.09	132.05	4:hsa;hsa-mir-574,38868092,38868113,+	578.0901985355657	132.05259036199962
hsa-miR-126-3p	34	623	623	569.86	130.17	9:hsa;hsa-mir-126,136670653,136670674,+	569.8579014045213	130.17209461317367
hsa-miR-502-3p	29	620	485.83	567.11	129.55	X:hsa;hsa-mir-502,50014649,50014670,+	444.39159512952904	101.51194644125233
hsa-miR-501-3p	27	596	594.33	545.16	124.53	X:hsa;hsa-mir-501,50009772,50009793,+	543.6365105426761	124.18236741320955
hsa-miR-505-3p	27	589	589	538.76	123.07	X:hsa;hsa-mir-505,139924198,139924219,-	538.7581122427979	123.06799956205343
hsa-miR-10a-3p	33	585	585	535.1	122.23	17:hsa;hsa-mir-10a,48579900,48579921,-	535.0993135178892	122.23222367368635
hsa-miR-500a-3p	32	573	438.83	524.12	119.72	X:hsa;hsa-mir-500a,50008482,50008503,+	401.4007101118525	91.69157975293908
hsa-miR-361-5p	29	562	562	514.06	117.43	X:hsa;hsa-mir-361,85903641,85903662,-	514.0612208496644	117.42651231557561
hsa-miR-135b-5p	20	555	555	507.66	115.96	1:hsa;hsa-mir-135b,205448317,205448339,-	507.65832308107434	115.9639045109332
hsa-miR-194-5p	20	550	278	503.08	114.92	1:hsa;hsa-mir-194-1,220118171,220118192,-	254.28651138115077	58.08642424151248
hsa-miR-28-3p	24	544	544	497.6	113.67	3:hsa;hsa-mir-28,188688834,188688855,+	497.5966265875756	113.6655208179237
hsa-let-7b-3p	26	538	538	492.11	112.41	22:hsa;hsa-let-7b,46113745,46113766,+	492.10842850021265	112.41185698537308
hsa-miR-660-5p	21	506	506	462.84	105.73	X:hsa;hsa-mir-660,50013256,50013277,+	462.83803870094346	105.7256498784364
hsa-miR-378a-3p	20	500	499.5	457.35	104.47	5:hsa;hsa-mir-378a,149732867,149732888,+	456.89249077296694	104.36751405983988
hsa-miR-193a-5p	17	497	497	454.61	103.85	17:hsa;hsa-mir-193a,31560016,31560037,+	454.605741569899	103.84515412961045
hsa-miR-532-5p	24	489	489	447.29	102.17	X:hsa;hsa-mir-532,50003167,50003188,+	447.2881441200817	102.17360235287627
hsa-miR-29c-3p	28	479	439.33	438.14	100.08	1:hsa;hsa-mir-29c,207801905,207801926,-	401.8580599524661	91.79605173898496
hsa-miR-374b-5p	15	468	465	428.08	97.79	X:hsa;hsa-mir-374b,74218557,74218578,-	425.33535177062987	97.15894702267376
hsa-miR-181b-5p	33	448	226	409.79	93.61	9:hsa;hsa-mir-181b-2,124693725,124693747,+	206.7221279573384	47.22133769274036
hsa-miR-181b-5p	32	444	222	406.13	92.77	1:hsa;hsa-mir-181b-1,198858908,198858930,-	203.06332923242974	46.38556180437328
hsa-miR-204-3p	22	442	442	404.3	92.35	9:hsa;hsa-mir-204,70810046,70810066,-	404.2972591024052	92.35323566456302
hsa-miR-29b-3p	28	440	210.33	402.47	91.94	1:hsa;hsa-mir-29b-2,207802494,207802516,-	192.39183295144622	43.94788212996928
hsa-miR-29b-3p	28	440	210.33	402.47	91.94	7:hsa;hsa-mir-29b-1,130877509,130877531,-	192.39183295144622	43.94788212996928
hsa-miR-361-3p	29	435	435	397.89	90.89	X:hsa;hsa-mir-361,85903680,85903702,-	397.894361333815	90.89062785992061
hsa-miR-140-3p	29	407	407	372.28	85.04	16:hsa;hsa-mir-140,69933142,69933162,+	372.28277025945454	85.04019664135102
hsa-miR-664a-3p	19	397	397	363.14	82.95	1:hsa;hsa-mir-664a,220200586,220200608,-	363.13577344718294	82.95075692043329
hsa-miR-146b-5p	19	393	393	359.48	82.11	10:hsa;hsa-mir-146b,102436520,102436542,+	359.4769747222743	82.11498103206621
hsa-miR-5100	2	390	390	356.73	81.49	10:hsa;hsa-mir-5100,42997630,42997651,+	356.7328756785928	81.4881491157909
hsa-miR-484	36	383	383	350.33	80.03	16:hsa;hsa-mir-484,15643301,15643322,+	350.3299779100027	80.0255413111485
hsa-miR-28-5p	22	368	368	336.61	76.89	3:hsa;hsa-mir-28,188688794,188688815,+	336.60948269159525	76.89138172977192
hsa-miR-342-3p	18	365	365	333.87	76.26	14:hsa;hsa-mir-342,100109715,100109737,+	333.86538364791375	76.26454981349661
hsa-miR-197-3p	15	364	364	332.95	76.06	1:hsa;hsa-mir-197,109598940,109598961,+	332.9506839666866	76.05560584140484
hsa-miR-335-5p	16	360	360	329.29	75.22	7:hsa;hsa-mir-335,130496126,130496148,+	329.29188524177795	75.21982995303775
hsa-miR-424-3p	20	357	357	326.55	74.59	X:hsa;hsa-mir-424,134546661,134546681,-	326.5477861980965	74.59299803676244
hsa-miR-15b-5p	18	345	345	315.57	72.09	3:hsa;hsa-mir-15b,160404607,160404628,+	315.57139002337055	72.08567037166118
hsa-miR-125b-2-3p	27	333	333	304.59	69.58	21:hsa;hsa-mir-125b-2,16590290,16590311,+	304.5949938486446	69.57834270655992
hsa-miR-455-3p	21	330	330	301.85	68.95	9:hsa;hsa-mir-455,114209487,114209507,+	301.85089480496316	68.9515107902846
hsa-miR-320d	17	327	80.45	299.11	68.32	13:hsa;hsa-mir-320d-1,40727857,40727875,-	73.5843225701493	16.808796326311263
hsa-miR-1180-3p	27	327	327	299.11	68.32	17:hsa;hsa-mir-1180,19344546,19344567,-	299.10679576128166	68.3246788740093
hsa-miR-151b	16	316	169.5	289.05	66.03	14:hsa;hsa-mir-151b,100109478,100109495,-	155.0415959680038	35.416003269555276
hsa-miR-320d	13	315	68.95	288.13	65.82	X:hsa;hsa-mir-320d-2,140926201,140926219,-	63.06527623603694	14.40594064725589
hsa-miR-425-5p	16	277	277	253.37	57.88	3:hsa;hsa-mir-425,49020161,49020183,-	253.3718116999236	57.877480269420715
hsa-miR-95-3p	16	274	274	250.63	57.25	4:hsa;hsa-mir-95,8005349,8005370,-	250.62771265624212	57.2506483531454
hsa-let-7a-3p	14	263	131.5	240.57	54.95	22:hsa;hsa-let-7a-3,46112800,46112820,+	120.28300808137168	27.476132330067955
hsa-let-7a-3p	14	263	131.5	240.57	54.95	9:hsa;hsa-let-7a-1,94176013,94176033,+	120.28300808137168	27.476132330067955
hsa-miR-362-5p	15	256	256	234.16	53.49	X:hsa;hsa-mir-362,50008968,50008991,+	234.16311839415323	53.489656855493514
hsa-miR-143-3p	13	254	254	232.33	53.07	5:hsa;hsa-mir-143,149428978,149428998,+	232.3337190316989	53.07176891130997
hsa-miR-345-5p	14	251	251	229.59	52.44	14:hsa;hsa-mir-345,100307876,100307897,+	229.5896199880174	52.44493699503465
hsa-miR-363-3p	14	246	246	225.02	51.4	X:hsa;hsa-mir-363,134169427,134169448,-	225.0161215818816	51.4002171345758
hsa-miR-181a-2-3p	15	245	245	224.1	51.19	9:hsa;hsa-mir-181a-2,124692518,124692539,+	224.10142190065446	51.19127316248402
hsa-miR-99b-3p	26	221	221	202.15	46.18	19:hsa;hsa-mir-99b,51692656,51692677,+	202.1486295512026	46.17661783228151
hsa-miR-615-3p	19	204	204	186.6	42.62	12:hsa;hsa-mir-615,54034010,54034031,+	186.59873497034084	42.624570306721395
hsa-miR-10b-3p	15	202	202	184.77	42.21	2:hsa;hsa-mir-10b,176150368,176150389,+	184.76933560788652	42.20668236253785
hsa-miR-328-3p	21	202	202	184.77	42.21	16:hsa;hsa-mir-328,67202368,67202389,-	184.76933560788652	42.20668236253785
hsa-miR-22-5p	10	196	196	179.28	40.95	17:hsa;hsa-mir-22,1713917,1713938,-	179.28113752052357	40.95301852998722
hsa-miR-340-5p	11	195	195	178.37	40.74	5:hsa;hsa-mir-340,180015318,180015339,-	178.3664378392964	40.74407455789545
hsa-miR-224-5p	12	191	191	174.71	39.91	X:hsa;hsa-mir-224,151958584,151958608,-	174.70763911438775	39.908298669528364
hsa-miR-891a-5p	15	190	190	173.79	39.7	X:hsa;hsa-mir-891a,146027804,146027825,-	173.7929394331606	39.69935469743659
hsa-miR-149-5p	13	188	188	171.96	39.28	2:hsa;hsa-mir-149,240456015,240456037,+	171.96354007070627	39.28146675325305
hsa-miR-107	17	182	87.33	166.48	38.03	10:hsa;hsa-mir-107,89592796,89592818,-	79.88377216050536	18.247773562681374
hsa-miR-139-5p	10	182	182	166.48	38.03	11:hsa;hsa-mir-139,72615069,72615091,-	166.4753419833433	38.02780292070242
hsa-miR-135a-5p	8	177	88.5	161.9	36.98	12:hsa;hsa-mir-135a-2,97563834,97563856,+	80.95092178860375	18.49154153012178
hsa-miR-135a-5p	8	177	88.5	161.9	36.98	3:hsa;hsa-mir-135a-1,52294235,52294257,-	80.95092178860375	18.49154153012178
hsa-miR-331-3p	12	175	175	160.07	36.57	12:hsa;hsa-mir-331,95308480,95308500,+	160.07244421475318	36.56519511606002
hsa-miR-148b-3p	11	174	174	159.16	36.36	12:hsa;hsa-mir-148b,54337278,54337299,+	159.15774453352603	36.356251143968244
hsa-miR-126-5p	11	173	173	158.24	36.15	9:hsa;hsa-mir-126,136670616,136670636,+	158.24304485229885	36.14730717187648
hsa-miR-152-3p	18	171	171	156.41	35.73	17:hsa;hsa-mir-152,48037214,48037234,-	156.41364548984453	35.72941922769293
hsa-miR-532-3p	15	167	167	152.75	34.89	X:hsa;hsa-mir-532,50003204,50003225,+	152.75484676493588	34.89364333932585
hsa-miR-877-5p	25	164	164	150.01	34.27	6:hsa;hsa-mir-877,30584332,30584351,+	150.0107477212544	34.266811423050534
hsa-miR-106b-5p	17	157	157	143.61	32.8	7:hsa;hsa-mir-106b,100094004,100094024,-	143.60784995266428	32.80420361840813
hsa-miR-501-5p	14	156	156	142.69	32.6	X:hsa;hsa-mir-501,50009735,50009756,+	142.6931502714371	32.59525964631636
hsa-miR-874-3p	21	155	155	141.78	32.39	5:hsa;hsa-mir-874,137647618,137647639,-	141.77845059020996	32.38631567422459
hsa-miR-339-5p	13	154	154	140.86	32.18	7:hsa;hsa-mir-339,1022947,1022969,-	140.8637509089828	32.17737170213282
hsa-miR-9-3p	13	142	52.33	129.89	29.67	1:hsa;hsa-mir-9-1,156420395,156420416,-	47.86928331755476	10.934734539469376
hsa-miR-9-3p	13	142	52.33	129.89	29.67	5:hsa;hsa-mir-9-2,88666905,88666926,-	47.86928331755476	10.934734539469376
hsa-miR-200a-5p	10	137	137	125.31	28.63	1:hsa;hsa-mir-200a,1167878,1167899,+	125.31385632812106	28.6253241765727
hsa-miR-196b-5p	13	137	136.33	125.31	28.63	7:hsa;hsa-mir-196b,27169494,27169515,-	124.70405654063627	28.486028195178182
hsa-miR-598-3p	7	135	135	123.48	28.21	8:hsa;hsa-mir-598,11035266,11035287,-	123.48445696566674	28.207436232389156
hsa-miR-744-5p	10	133	133	121.66	27.79	17:hsa;hsa-mir-744,12081909,12081930,+	121.65505760321241	27.789548288205612
hsa-miR-125a-3p	9	132	132	120.74	27.58	19:hsa;hsa-mir-125a,51693306,51693327,+	120.74035792198525	27.580604316113842
hsa-miR-16-2-3p	9	130	130	118.91	27.16	3:hsa;hsa-mir-16-2,160404797,160404818,+	118.91095855953093	27.162716371930298
hsa-miR-184	7	129	129	118	26.95	15:hsa;hsa-mir-184,79209840,79209861,+	117.99625887830378	26.953772399838527
hsa-miR-335-3p	10	127	127	116.17	26.54	7:hsa;hsa-mir-335,130496162,130496183,+	116.16685951584945	26.535884455654983
hsa-miR-374a-5p	10	118	118	107.93	24.66	X:hsa;hsa-mir-374a,74287297,74287318,-	107.934562384805	24.65538870682904
hsa-miR-324-3p	14	116	116	106.11	24.24	17:hsa;hsa-mir-324,7223346,7223368,-	106.10516302235068	24.237500762645496
hsa-miR-106b-3p	13	115	115	105.19	24.03	7:hsa;hsa-mir-106b,100094044,100094065,-	105.19046334112352	24.028556790553726
hsa-miR-98-3p	11	114	114	104.28	23.82	X:hsa;hsa-mir-98,53556302,53556323,-	104.27576365989636	23.819612818461955
hsa-miR-9-3p	10	112	37.33	102.45	23.4	15:hsa;hsa-mir-9-3,89368071,89368092,+	34.148788099147346	7.800574958092804
hsa-miR-20a-5p	8	101	101	92.38	21.1	13:hsa;hsa-mir-20a,91351072,91351094,+	92.38466780394326	21.103341181268924
hsa-miR-340-3p	5	101	101	92.38	21.1	5:hsa;hsa-mir-340,180015360,180015381,-	92.38466780394326	21.103341181268924
hsa-miR-1307-3p	9	99	99	90.56	20.69	10:hsa;hsa-mir-1307,103394332,103394353,-	90.55526844148893	20.685453237085383
hsa-miR-190a-5p	7	98	98	89.64	20.48	15:hsa;hsa-mir-190a,62823971,62823992,+	89.64056876026179	20.47650926499361
hsa-miR-185-5p	9	97	97	88.73	20.27	22:hsa;hsa-mir-185,20033153,20033174,+	88.72586907903462	20.26756529290184
hsa-miR-769-5p	10	90	90	82.32	18.8	19:hsa;hsa-mir-769,46018961,46018982,+	82.32297131044449	18.804957488259436
hsa-miR-1301-3p	16	88	88	80.49	18.39	2:hsa;hsa-mir-1301,25328687,25328710,-	80.49357194799018	18.387069544075896
hsa-miR-664a-5p	10	88	88	80.49	18.39	1:hsa;hsa-mir-664a,220200548,220200571,-	80.49357194799018	18.387069544075896
hsa-miR-17-5p	11	85	74	77.75	17.76	13:hsa;hsa-mir-17,91350618,91350640,+	67.68777641080992	15.461853934791094
hsa-miR-199a-3p	6	84	28	76.83	17.55	1:hsa;hsa-mir-199a-2,172144604,172144625,-	25.611591074360508	5.850431218569603
hsa-miR-199a-3p	6	84	28	76.83	17.55	19:hsa;hsa-mir-199a-1,10817472,10817493,-	25.611591074360508	5.850431218569603
hsa-miR-199b-3p	6	84	28	76.83	17.55	9:hsa;hsa-mir-199b,128244785,128244806,-	25.611591074360508	5.850431218569603
hsa-miR-132-3p	7	82	82	75.01	17.13	17:hsa;hsa-mir-132,2049966,2049987,-	75.0053738606272	17.133405711525267
