"name","X180322.190603_Brain_S36","X32140243_EXO_S2","X32141753_EXO_S10","X32150101_EXO_S3","X32150228_EXO_S18","X32150296_EXO_S34","X32150300_EXO_S4","X32150301_EXO_S14","X32150688_EXO_S20","X32150744_EXO_S30","X32150759_EXO_S26","X32151086_EXO_S6","X32151109_EXO_S17","X32151113_EXO_S24","X32151157_EXO_S31","X32151161_EXO_S19","X32151201_EXO_S23","X32151204_EXO_S9","X32151206_EXO_S12","X32151640_EXO_S32","X32151642_EXO_S5","X32151649_EXO_S7","X32151662_EXO_S25","X32151675_EXO_S28","X32151680_EXO_S22","X32151681_EXO_S21","X32151684_EXO_S13","X32151808_EXO_S16","X32151828_EXO_S15","X32151872_EXO_S27","X32151947_EXO_S11","X32152118_EXO_S1","X32152166_EXO_S8","X32152206_EXO_S33","X32152211_EXO_S35","X32152477_EXO_S29","X180626.180628.190531_Brain_S32","X32140237_EXO_S31","X32150168_EXO_S6","X32150184_EXO_S18","X32150225_EXO_S2","X32150855_EXO_S1","X32150887_EXO_S28","X32151031_EXO_S19","X32151184_EXO_S8","X32151244_EXO_S30","X32151484_EXO_S11","X32151686_EXO_S20","X32151694_EXO_S10","X32151750_EXO_S14","X32151971_EXO_S23","X32151974_EXO_S24","X32152194_EXO_S15","X32152197_EXO_S12","X32152356_EXO_S21","X32152444_EXO_S25","X32160074_EXO_S17","X32160187_EXO_S9","X32160196_EXO_S22","X32160475_EXO_S26","X32160668_EXO_S16","X32160696_EXO_S3","X32160790_EXO_S27","X32161242_EXO_S7","X32161248_EXO_S29","X32161349_EXO_S5","X32161406_EXO_S4","X32161462_EXO_S13","X180726.190530_Brain_S36","X32140235_EXO_S8","X32141754_EXO_S5","X32141765_EXO_S9","X32150091_EXO_S1","X32150158_EXO_S10","X32150162_EXO_S11","X32150690_EXO_S2","X32150880_EXO_S12","X32151247_EXO_S13","X32151370_EXO_S14","X32151510_EXO_S15","X32151523_EXO_S6","X32151633_EXO_S16","X32151648_EXO_S4","X32152019_EXO_S17","X32152081_EXO_S18","X32152082_EXO_S19","X32152259_EXO_S20","X32152263_EXO_S7","X32152276_EXO_S21","X32152388_EXO_S22","X32152480_EXO_S3","X32160002_EXO_S23","X32160008_EXO_S24","X32160071_EXO_S25","X32160118_EXO_S26","X32160619_EXO_S27","X32160652_EXO_S28","X32160740_EXO_S29","X32160964_EXO_S30","X32161241_EXO_S31","X32161448_EXO_S32","X32170071_EXO_S33","X32170419_EXO_S34","X32170641_EXO_S35","X180913.190529_Brain_S36","X32141643_EXO_S1","X32141786_EXO_S2","X32150013_EXO_S3","X32150076_EXO_S4","X32150080_EXO_S5","X32150147_EXO_S6","X32150163_EXO_S7","X32150243_EXO_S8","X32150292_EXO_S9","X32150424_EXO_S10","X32150696_EXO_S11","X32150698_EXO_S12","X32150825_EXO_S13","X32150844_EXO_S14","X32150849_EXO_S15","X32150993_EXO_S16","X32151026_EXO_S17","X32151125_EXO_S18","X32151152_EXO_S19","X32151180_EXO_S20","X32151226_EXO_S21","X32151444_EXO_S22","X32151565_EXO_S23","X32151667_EXO_S24","X32151691_EXO_S25","X32151725_EXO_S26","X32151765_EXO_S27","X32151859_EXO_S28","X32151881_EXO_S29","X32151984_EXO_S30","X32152084_EXO_S31","X32152094_EXO_S32","X32152253_EXO_S33","X32152273_EXO_S34","X32152341_EXO_S35","X180919.190527_Brain_S35","X32150043_EXO_S34","X32152359_EXO_S1","X32152366_EXO_S2","X32152381_EXO_S3","X32152446_EXO_S4","X32152451_EXO_S5","X32160028_EXO_S6","X32160083_EXO_S7","X32160120_EXO_S8","X32160241_EXO_S9","X32160246_EXO_S10","X32160323_EXO_S11","X32160457_EXO_S12","X32160466_EXO_S13","X32160472_EXO_S14","X32160600_EXO_S15","X32160766_EXO_S16","X32160782_EXO_S17","X32161246_EXO_S18","X32161252_EXO_S19","X32161358_EXO_S20","X32161367_EXO_S21","X32161415_EXO_S22","X32170068_EXO_S23","X32170276_EXO_S24","X32170346_EXO_S25","X32170365_EXO_S26","X32170367_EXO_S27","X32170368_EXO_S28","X32170381_EXO_S29","X32170400_EXO_S30","X32170453_EXO_S31","X32170613_EXO_S32","X32170644_EXO_S33","X181003.190524_Brain_S35","X32150156_EXO_S1","X32150274_EXO_S3","X32150309_EXO_S4","X32150313_EXO_S5","X32150318_EXO_S6","X32150697_EXO_S7","X32150792_EXO_S8","X32150829_EXO_S9","X32150835_EXO_S10","X32150882_EXO_S11","X32151018_EXO_S12","X32151021_EXO_S13","X32151029_EXO_S14","X32151178_EXO_S15","X32151181_EXO_S16","X32151480_EXO_S17","X32151489_EXO_S18","X32151625_EXO_S19","X32151754_EXO_S20","X32151970_EXO_S21","X32151988_EXO_S22","X32152030_EXO_S23","X32152087_EXO_S24","X32152200_EXO_S25","X32152260_EXO_S26","X32152348_EXO_S27","X32152351_EXO_S28","X32152408_EXO_S29","X32160009_EXO_S30","X32160019_EXO_S31","X32160078_EXO_S32","X32160080_EXO_S33","X32160185_EXO_S34","X181004.190521_Brain_S35","X32150116_EXO_S31","X32150161_EXO_S32","X32150704_EXO_S33","X32150978_EXO_S34","X32160284_EXO_S1","X32160340_EXO_S2","X32160373_EXO_S3","X32160612_EXO_S4","X32160622_EXO_S5","X32160628_EXO_S6","X32160670_EXO_S7","X32160765_EXO_S8","X32160965_EXO_S9","X32161004_EXO_S10","X32161013_EXO_S11","X32161045_EXO_S12","X32161046_EXO_S13","X32161065_EXO_S14","X32161104_EXO_S15","X32161237_EXO_S16","X32161245_EXO_S17","X32161253_EXO_S18","X32161392_EXO_S19","X32170016_EXO_S20","X32170083_EXO_S21","X32170268_EXO_S22","X32170269_EXO_S23","X32170272_EXO_S24","X32170383_EXO_S25","X32170385_EXO_S26","X32170409_EXO_S27","X32170434_EXO_S28","X32170450_EXO_S29","X32170652_EXO_S30","X181023.190319_Brain_S29","X32151033_EXO_S1","X32151130_EXO_S2","X32151151_EXO_S3","X32151185_EXO_S4","X32151764_EXO_S5","X32151825_EXO_S6","X32152086_EXO_S7","X32152088_EXO_S8","X32152175_EXO_S9","X32152337_EXO_S10","X32152347_EXO_S11","X32160018_EXO_S12","X32160079_EXO_S13","X32160288_EXO_S14","X32160526_EXO_S15","X32160791_EXO_S16","X32161000_EXO_S17","X32161037_EXO_S18","X32161249_EXO_S19","X32161454_EXO_S20","X32170032_EXO_S21","X32170073_EXO_S22","X32170273_EXO_S23","X32170329_EXO_S24","X32170337_EXO_S25","X32170378_EXO_S26","X32170440_EXO_S27","X32170447_EXO_S28"
"137","hsa-miR-1263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"138","hsa-miR-1264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","hsa-miR-1266-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,20,0,0,0,7,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,15,0,7,0,24,0,0,0,6,0,0,0,14,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,79,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"140","hsa-miR-1267",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","hsa-miR-1268b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,48,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","hsa-miR-1269a",0,0,110,0,34,0,78,0,0,0,0,7,0,0,102,0,0,1,0,0,0,97,0,127,85,150,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,435,99,0,33,224,19,39,0,0,24,71,0,49,0,0,156,11,0,79,0,0,0,41,0,0,0,41,0,52,0,0,200,0,0,0,0,7,0,34,19,24,0,0,16,0,40,0,0,39,0,0,42,0,0,10,0,9,21,11,0,0,0,9,2,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,5,0,0,0,3,0,0,0,0,42,2,1,4,0,2,0,0,0,4,29,0,0,0,0,0,0,19,17,10,0,10,1,0,4,0,6,39,0,0,0,12,16,47,0,0,0,0,0,0,27,0,0,0,0,0,50,0,0,0,0,0,59,0,15,33,0,89,0,45,0,0,8,0,23,0,0,0,0,0,0,0,0,0,48,37,15,0,0,0,0,0,0,131,0,0,0,12,119,81,0,1,18,18,0,16,17,0,111,10,0,0,13,0,29,0,0,0,0,39,0,0,77,0,0,0,0,0,0,26,0,0,0,42,0,0,0,0,0,1,0,0,0,448,101,0,24,200
"143","hsa-miR-1269b",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,6,10,0,0,0,0,0,0,12,1,8,24,13,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,0,0,34,0,0,0,0,0,0,25,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,115,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,26,0,0,4,21,0,0,0,0,0,23,0,0,0,0,79,0,0,0,0,0,0,0,0,0,195,0,0,0,2,0,0,0,0
"144","hsa-miR-127-3p",7208,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,5704,0,0,1,0,1,21,0,2,0,0,45,0,0,0,12700,0,0,18,0,2,0,2,0,34,0,0,2,0,0,0,0,22719,0,38,10,0,100,3,0,25,0,36,0,0,0,0,77,0,0,0,0,0,0,9,49,0,0,66,49,0,0,65,27,16,191,57,0,5389,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,5,0,0,3,0,0,5,0,0,4,1,2,0,5,14539,0,0,16,10,6,4,43,0,7,0,0,15,0,7,11,0,1,31,0,0,0,39,0,0,17,20,3,34,6,0,0,0,0,4,25100,0,1,145,0,0,0,0,0,24,45,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,2,0,0,30596,0,17,77,1,0,0,0,0,57,5,0,1,27,70,21,0,14,0,0,17,87,14,4,14,0,19,0,26,0,12,0,35,21,0,28135,0,4,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,18,34,0,26,19
"145","hsa-miR-127-5p",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,30,0,287,0,0,0,0,0,0,35,0,0,0,1948,1,0,1,0,0,0,0,179,0,0,0,0,0,0,0,0,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","hsa-miR-1270",70,0,0,1,115,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,19,80,0,0,34,0,0,224,95,0,165,0,253,250,140,79,180,123,122,4,0,0,0,18,0,199,0,0,150,71,0,0,1,76,0,0,0,0,79,0,76,2,0,38,27,24,61,17,6,0,93,54,0,0,12,0,0,0,0,17,31,0,0,0,107,14,0,0,0,37,3,0,0,0,0,11,4,0,0,0,0,0,35,0,0,0,11,0,0,0,0,12,0,0,2,8,0,8,6,2,9,1,12,0,8,88,0,3,19,2,5,5,47,0,1,0,5,0,7,30,0,93,0,8,5,0,1,0,0,0,26,12,14,15,0,0,0,0,0,0,278,0,0,65,0,8,5,70,0,8,0,0,0,89,21,16,0,68,0,0,0,26,0,0,0,0,0,43,0,57,1,0,11,0,194,15,38,0,0,11,29,0,0,16,24,0,0,0,53,25,17,0,0,0,15,18,28,0,59,34,0,0,9,2,0,15,38,15,32,164,0,48,0,0,0,0,0,0,0,0,0,0,0,126,20,1,0,0,0,67,20,0,0,108,0,0,43,130
"147","hsa-miR-1271-5p",312,0,0,0,58,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,57,0,0,0,150,0,0,0,0,0,90,0,0,84,39,153,0,0,0,635,23,0,0,0,0,0,23,300,0,0,0,233,0,0,0,0,975,0,38,4,0,40,0,66,9,0,46,12,0,74,55,2,0,0,18,0,0,0,36,17,0,0,21,24,0,0,19,93,7,20,0,72,271,0,0,5,0,7,25,1,0,0,0,0,75,0,0,0,0,89,0,0,0,0,18,2,1,0,21,0,10,13,1,31,0,16,32,8,798,0,14,7,23,9,14,0,7,9,0,0,11,7,14,7,41,0,4,0,2,0,0,20,0,29,0,4,6,0,0,0,27,0,12,907,0,6,0,0,0,37,39,0,13,0,0,18,85,68,0,0,0,0,110,0,19,0,0,0,42,0,0,0,0,0,0,0,0,872,14,0,0,8,0,15,0,0,8,0,0,0,0,0,24,4,0,13,0,1,20,0,0,27,25,0,0,59,0,32,0,33,47,24,1106,0,0,0,28,0,0,0,0,24,0,18,0,0,99,0,0,0,0,76,0,0,0,0,59,110,0,62,0
"148","hsa-miR-1272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","hsa-miR-1273c",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
"150","hsa-miR-1273h-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","hsa-miR-1275",17,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,102,0,0,0,0,4,0,0,0,0,59,0,2,0,0,0,3,0,0,0,0,119,0,0,0,1,94,0,0,0,0,7,0,0,0,0,0,11,0,20,0,0,0,0,0,0,0,10,15,0,0,0,0,48,0,0,0,11,0,27,0,0,41,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,5,2,1,3,3,5,0,0,142,0,7,0,3,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,12,15,89,0,0,0,0,0,0,0,117,0,0,0,0,0,19,13,0,0,0,0,0,17,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,5,5,0,27,0,0,13,0,0,0,29,65,26,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
"152","hsa-miR-1276",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,21,0,0,0,0,0,0,35,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"153","hsa-miR-1277-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"154","hsa-miR-1278",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","hsa-miR-128-1-5p",286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,66,0,0,21,0,0,0,0,0,1129,0,0,40,0,0,0,2,0,1,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,276,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,1,0,0,0,0,0,0,0,0,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1527,0,0,30,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
