name	unique reads 32161248_EXO_S29	32161248_EXO_S29	32161248_EXO_S29 (mult. map. adj.)	PM32161248_EXO_S29(lib)	32161248_EXO_S29 (total)	coordinateString 32161248_EXO_S29	32161248_EXO_S29 (lib)	32161248_EXO_S29 (total)
hsa-miR-204-5p	531	112976	112960.5	30671.61	7190.73	9:hsa;hsa-mir-204,70810007,70810028,-	30667.404027685243	7189.744119819713
hsa-miR-125a-5p	477	98349	98349	26700.56	6259.75	19:hsa;hsa-mir-125a,51693268,51693291,+	26700.559210687064	6259.746941985463
hsa-miR-30c-5p	367	67849	33953.5	18420.18	4318.47	6:hsa;hsa-mir-30c-2,71376966,71376988,-	9217.962939735668	2161.0826525404777
hsa-miR-30c-5p	364	67791	33895.5	18404.43	4314.78	1:hsa;hsa-mir-30c-1,40757300,40757322,+	9202.216644051729	2157.391050972234
hsa-miR-92a-3p	445	66571	35288.5	18073.22	4237.13	13:hsa;hsa-mir-92a-1,91351361,91351382,+	9580.399228322916	2246.0531369129735
hsa-miR-30a-3p	413	62981	62967.5	17098.58	4008.63	6:hsa;hsa-mir-30a,71403597,71403618,-	17094.91161169852	4007.7745129027203
hsa-miR-92a-3p	372	62753	31470.5	17036.68	3994.12	X:hsa;hsa-mir-92a-2,134169585,134169606,-	8543.858591749049	2003.0439164379254
hsa-let-7c-5p	367	61910	60693.99	16807.81	3940.47	21:hsa;hsa-let-7c,16539838,16539859,+	16477.682030474738	3863.069641627138
hsa-miR-200c-3p	387	56866	56837	15438.43	3619.42	12:hsa;hsa-mir-200c,6963742,6963764,+	15430.555306691685	3617.5785919696973
hsa-miR-200b-3p	463	52753	52724	14321.8	3357.64	1:hsa;hsa-mir-200b,1167160,1167181,+	14313.92575241502	3355.7931221389294
hsa-miR-21-5p	318	44535	44535	12090.71	2834.58	17:hsa;hsa-mir-21,59841273,59841294,+	12090.711694556614	2834.577169684721
hsa-let-7g-5p	238	42097	41933.19	11428.82	2679.4	3:hsa;hsa-let-7g,52268282,52268303,-	11384.3526500046	2668.976560566824
hsa-let-7e-5p	320	40545	39963.45	11007.48	2580.62	19:hsa;hsa-let-7e,51692793,51692814,+	10849.591383627001	2543.6057705588155
hsa-miR-26b-5p	223	39879	39871	10826.66	2538.23	2:hsa;hsa-mir-26b,218402657,218402677,+	10824.492331282514	2537.7214849556417
hsa-miR-30e-5p	345	29715	29438.5	8067.26	1891.31	1:hsa;hsa-mir-30e,40754371,40754392,+	7992.195267097897	1873.7105649436096
hsa-miR-320a-3p	310	25829	25285.18	7012.26	1643.97	8:hsa;hsa-mir-320a,22245007,22245028,-	6864.620550601676	1609.359083472682
hsa-miR-27b-3p	251	25130	24899.17	6822.49	1599.48	9:hsa;hsa-mir-27b,95085505,95085525,+	6759.821389949049	1584.789701976157
hsa-miR-99b-5p	222	24772	24771.5	6725.3	1576.7	19:hsa;hsa-mir-99b,51692618,51692639,+	6725.161440253939	1576.6639353058283
hsa-miR-191-5p	188	24106	24106	6544.49	1534.31	3:hsa;hsa-mir-191,49020633,49020655,-	6544.486271673554	1534.3059897253818
hsa-miR-23b-3p	242	23767	23712	6452.45	1512.73	9:hsa;hsa-mir-23b,95085265,95085287,+	6437.520056165407	1509.2285583824878
hsa-miR-23a-3p	176	19232	19189	5221.25	1224.08	19:hsa;hsa-mir-23a,13836631,13836651,-	5209.58048067468	1221.347284362414
hsa-miR-203a-3p	213	19138	19138	5195.73	1218.1	14:hsa;hsa-mir-203a,104117469,104117490,+	5195.734599987077	1218.101220914476
hsa-miR-99a-5p	188	14681	14677.5	3985.71	934.42	21:hsa;hsa-mir-99a,16539101,16539122,+	3984.763015535078	934.1979658256986
hsa-miR-423-5p	160	14644	14644	3975.67	932.07	17:hsa;hsa-mir-423,30117095,30117117,+	3975.6681723383194	932.0657476785236
hsa-let-7d-5p	169	13495	13064.53	3663.73	858.93	9:hsa;hsa-let-7d,94178841,94178862,+	3546.8621524027853	831.5353748568922
hsa-miR-125b-5p	178	12975	6539	3522.55	825.84	21:hsa;hsa-mir-125b-2,16590253,16590274,+	1775.259094435965	416.1962526679778
hsa-miR-125b-5p	177	12883	6447	3497.58	819.98	11:hsa;hsa-mir-125b-1,122099771,122099792,-	1750.282211626956	410.3406088011091
hsa-miR-200a-3p	178	12403	12401	3367.26	789.43	1:hsa;hsa-mir-200a,1167916,1167937,+	3366.720909940419	789.3026042721505
hsa-let-7d-3p	128	10420	10420	2828.9	663.22	9:hsa;hsa-let-7d,94178895,94178916,+	2828.9034659768704	663.2153162257728
hsa-miR-30e-3p	140	10093	10080	2740.13	642.4	1:hsa;hsa-mir-30e,40754413,40754434,+	2736.5975947261854	641.5748932395192
hsa-miR-103a-3p	154	9812	4762	2663.84	624.52	20:hsa;hsa-mir-103a-2,3917541,3917563,+	1292.8251732228268	303.0932184133522
hsa-miR-103a-3p	154	9812	4762	2663.84	624.52	5:hsa;hsa-mir-103a-1,168560943,168560965,-	1292.8251732228268	303.0932184133522
hsa-miR-98-5p	106	9664	9279.1	2623.66	615.1	X:hsa;hsa-mir-98,53556244,53556265,-	2519.1629703595004	590.5989674463121
hsa-miR-221-3p	138	8732	8732	2370.63	555.78	X:hsa;hsa-mir-221,45746221,45746243,-	2370.631964002882	555.7769809293136
hsa-miR-22-3p	82	8509	8509	2310.09	541.58	17:hsa;hsa-mir-22,1713955,1713976,-	2310.0901719766975	541.5834093824473
hsa-miR-30b-5p	88	8342	8342	2264.75	530.95	8:hsa;hsa-mir-30b,134800536,134800557,-	2264.751699921214	530.9541427980226
hsa-miR-92b-3p	163	8276	8276	2246.83	526.75	1:hsa;hsa-mir-92b,155195237,155195258,+	2246.8335013843166	526.7533548065735
hsa-miR-429	75	8237	8237	2236.25	524.27	1:hsa;hsa-mir-429,1169055,1169076,+	2236.2454749761496	524.2710709934444
hsa-miR-423-3p	121	8112	8112	2202.31	516.32	17:hsa;hsa-mir-423,30117131,30117153,+	2202.309492898692	516.3150331308511
hsa-miR-151a-5p	47	8006	7847	2173.53	509.57	8:hsa;hsa-mir-151a,140732574,140732594,-	2130.3652108944816	499.4482328621535
hsa-miR-24-3p	110	7712	3856	2093.71	490.86	19:hsa;hsa-mir-24-2,13836336,13836357,-	1046.8571751254137	245.42785598527638
hsa-miR-24-3p	110	7712	3856	2093.71	490.86	9:hsa;hsa-mir-24-1,95086064,95086085,+	1046.8571751254137	245.42785598527638
hsa-miR-151a-3p	139	7704	7704	2091.54	490.35	8:hsa;hsa-mir-151a,140732610,140732630,-	2091.54244739787	490.3465255473468
hsa-miR-182-5p	133	7486	7486	2032.36	476.47	7:hsa;hsa-mir-182,129770405,129770428,-	2032.358094654784	476.4711955149842
hsa-miR-1260a	9	7160	3980	1943.85	455.72	14:hsa;hsa-mir-1260a,77266231,77266248,+	1080.5216693462517	253.32024554496886
hsa-miR-222-3p	133	7128	7128	1935.17	453.69	X:hsa;hsa-mir-222,45747083,45747103,-	1935.1654419849453	453.6851030765171
hsa-miR-1260b	7	7099	3919	1927.29	451.84	11:hsa;hsa-mir-1260b,96341447,96341465,+	1063.9609100924524	249.43769906802336
hsa-miR-148a-3p	80	6880	6880	1867.84	437.9	7:hsa;hsa-mir-148a,25949962,25949983,-	1867.8364535432693	437.9003239571321
hsa-miR-181a-5p	124	6734	3367	1828.2	428.61	9:hsa;hsa-mir-181a-2,124692480,124692502,+	914.0996132383995	214.3038358668116
hsa-miR-181a-5p	124	6734	3367	1828.2	428.61	1:hsa;hsa-mir-181a-1,198859067,198859089,-	914.0996132383995	214.3038358668116
hsa-let-7i-5p	75	5582	5573.5	1515.45	355.28	12:hsa;hsa-let-7i,62603691,62603712,+	1513.137568869682	354.74381621730754
hsa-miR-375-3p	75	5379	5379	1460.33	342.36	2:hsa;hsa-mir-375,219001684,219001705,-	1460.3331807571578	342.36422130311246
hsa-miR-532-5p	59	5229	5229	1419.61	332.82	X:hsa;hsa-mir-532,50003167,50003188,+	1419.6100022642086	332.81697586800055
hsa-miR-25-3p	71	4918	4918	1335.18	313.02	7:hsa;hsa-mir-25,100093611,100093632,-	1335.177278855494	313.0223536658686
hsa-miR-29a-3p	88	4840	4837.83	1314	308.06	7:hsa;hsa-mir-29a,130876788,130876809,-	1313.4130023498178	307.9198813833254
hsa-miR-101-3p	96	4814	2443.5	1306.94	306.4	9:hsa;hsa-mir-101-2,4850345,4850365,+	663.3805776501423	155.5246281379727
hsa-miR-101-3p	92	4741	2370.5	1287.12	301.76	1:hsa;hsa-mir-101-1,65058480,65058500,-	643.561964116907	150.87830202621828
hsa-miR-183-5p	86	4656	4656	1264.05	296.35	7:hsa;hsa-mir-183,129774931,129774952,-	1264.0474604211427	296.3464983058731
hsa-miR-93-5p	65	4529	4529	1229.57	288.26	7:hsa;hsa-mir-93,100093778,100093800,-	1229.568502630446	288.2631638374784
hsa-miR-100-5p	86	4508	4501.5	1223.87	286.93	11:hsa;hsa-mir-100,122152241,122152262,-	1222.102586573405	286.5128355077079
hsa-miR-28-3p	36	4131	4131	1121.52	262.93	3:hsa;hsa-mir-28,188688834,188688855,+	1121.5163356958205	262.9311392829815
hsa-miR-141-3p	82	4043	4041	1097.63	257.33	12:hsa;hsa-mir-141,6964155,6964176,+	1097.0824286000511	257.2027920219144
hsa-miR-27a-3p	72	3630	3499.17	985.5	231.04	19:hsa;hsa-mir-27a,13836490,13836510,-	949.9812582882979	222.71601990019352
hsa-miR-9-5p	56	2991	997	812.02	190.37	15:hsa;hsa-mir-9-3,89368032,89368054,+	270.67339304980266	63.4573579920438
hsa-miR-9-5p	56	2991	997	812.02	190.37	1:hsa;hsa-mir-9-1,156420356,156420378,-	270.67339304980266	63.4573579920438
hsa-miR-9-5p	56	2991	997	812.02	190.37	5:hsa;hsa-mir-9-2,88666868,88666890,-	270.67339304980266	63.4573579920438
hsa-miR-186-5p	37	2780	2780	754.74	176.94	1:hsa;hsa-mir-186,71067645,71067666,-	754.7362414026583	176.94228206407374
hsa-miR-31-5p	57	2765	2765	750.66	175.99	9:hsa;hsa-mir-31,21512122,21512142,-	750.6639235533634	175.98755752056255
hsa-miR-205-5p	58	2675	2675	726.23	170.26	1:hsa;hsa-mir-205,209432166,209432187,+	726.2300164575938	170.2592102594954
hsa-miR-200b-5p	50	2650	2650	719.44	168.67	1:hsa;hsa-mir-200b,1167124,1167145,+	719.4428200421023	168.66800268697676
hsa-miR-192-5p	83	2569	2569	697.45	163.51	11:hsa;hsa-mir-192,64891160,64891180,-	697.4523036559098	163.51249015201634
hsa-miR-501-3p	56	2543	2538.33	690.39	161.86	X:hsa;hsa-mir-501,50009772,50009793,+	689.1266760529069	161.56060886306014
hsa-miR-342-3p	52	2497	2497	677.91	158.93	14:hsa;hsa-mir-342,100109715,100109737,+	677.9051779792941	158.92981234316264
hsa-miR-660-5p	54	2457	2457	667.05	156.38	X:hsa;hsa-mir-660,50013256,50013277,+	667.0456637145077	156.38388022713278
hsa-miR-652-3p	33	2355	2355	639.35	149.89	X:hsa;hsa-mir-652,110055389,110055409,+	639.3539023393022	149.8917533312567
hsa-miR-196a-5p	49	2344	1483	636.37	149.19	12:hsa;hsa-mir-196a-2,53991762,53991783,+	402.61649136695763	94.39043320180625
hsa-miR-16-5p	41	2314	1156.67	628.22	147.28	3:hsa;hsa-mir-16-2,160404754,160404775,+	314.0209541567415	73.61987035519614
hsa-miR-16-5p	41	2314	1156.67	628.22	147.28	13:hsa;hsa-mir-16-1,50048986,50049007,-	314.0209541567415	73.61987035519614
hsa-miR-5100	3	2287	2287	620.89	145.56	10:hsa;hsa-mir-5100,42997630,42997651,+	620.8927280891653	145.56366873400597
hsa-miR-128-3p	57	2263	1378	614.38	144.04	2:hsa;hsa-mir-128-1,135665446,135665466,+	374.1102664218932	87.70736139722791
hsa-miR-335-5p	37	2231	2231	605.69	142	7:hsa;hsa-mir-335,130496126,130496148,+	605.6894081184643	141.99936377156422
hsa-miR-181b-5p	48	2029	1086.5	550.85	129.14	9:hsa;hsa-mir-181b-2,124693725,124693747,+	294.97155621726193	69.15388110166047
hsa-miR-424-3p	37	1973	1973	535.65	125.58	X:hsa;hsa-mir-424,134546661,134546681,-	535.6455411105917	125.57810162317175
hsa-miR-378a-3p	15	1891	1843	513.38	120.36	5:hsa;hsa-mir-378a,149732867,149732888,+	500.3521197500357	117.30382224607479
hsa-miR-181b-5p	43	1885	942.5	511.75	119.98	1:hsa;hsa-mir-181b-1,198858908,198858930,-	255.87730486403072	59.988525483953055
hsa-miR-361-5p	34	1880	1880	510.4	119.66	X:hsa;hsa-mir-361,85903641,85903662,-	510.39717044496314	119.65880945340238
hsa-miR-196a-5p	37	1845	984	500.9	117.43	17:hsa;hsa-mir-196a-1,48632496,48632517,-	267.14405091374664	62.62993005433401
hsa-miR-194-5p	41	1832	1351	497.37	116.6	11:hsa;hsa-mir-194-2,64891369,64891390,-	366.78009429316234	85.98885721890777
hsa-miR-128-3p	45	1771	886	480.8	112.72	3:hsa;hsa-mir-128-2,35744527,35744547,+	240.53824096501987	56.39239637006091
hsa-miR-500a-3p	42	1657	1532.33	449.86	105.47	X:hsa;hsa-mir-500a,50008482,50008503,+	416.00989229352757	97.53041614490971
hsa-miR-374b-5p	34	1637	1635.5	444.43	104.19	X:hsa;hsa-mir-374b,74218557,74218578,-	444.01838950145594	104.09679939416999
hsa-miR-502-3p	38	1627	1503.33	441.71	103.56	X:hsa;hsa-mir-502,50014649,50014670,+	408.1367444515574	95.68461536078807
hsa-miR-30c-2-3p	20	1567	1567	425.42	99.74	6:hsa;hsa-mir-30c-2,71377006,71377027,-	425.4214713230092	99.7368906454689
hsa-miR-664a-3p	30	1441	1441	391.21	91.72	1:hsa;hsa-mir-664a,220200586,220200608,-	391.2140013889319	91.71720447997491
hsa-miR-1180-3p	29	1438	1438	390.4	91.53	17:hsa;hsa-mir-1180,19344546,19344567,-	390.39953781907286	91.52625957127267
hsa-miR-197-3p	25	1422	1422	386.06	90.51	1:hsa;hsa-mir-197,109598940,109598961,+	386.0557321131583	90.50788672486074
hsa-miR-425-5p	35	1408	1408	382.25	89.62	3:hsa;hsa-mir-425,49020161,49020183,-	382.25490212048305	89.6168104842503
hsa-miR-362-5p	33	1405	1405	381.44	89.43	X:hsa;hsa-mir-362,50008968,50008991,+	381.44043855062404	89.42586557554806
hsa-miR-204-3p	24	1402	1402	380.63	89.23	9:hsa;hsa-mir-204,70810046,70810066,-	380.6259749807651	89.23492066684582
hsa-miR-29c-3p	32	1323	1294.83	359.18	84.21	1:hsa;hsa-mir-29c,207801905,207801926,-	351.531526346358	82.41394420598255
hsa-miR-455-3p	29	1320	1320	358.36	84.02	9:hsa;hsa-mir-455,114209487,114209507,+	358.36397073795285	84.01575982898466
hsa-miR-574-3p	19	1313	1313	356.46	83.57	4:hsa;hsa-mir-574,38868092,38868113,+	356.4635557416152	83.57022170867943
hsa-miR-107	31	1256	680	340.99	79.94	10:hsa;hsa-mir-107,89592796,89592818,-	184.6117425013697	43.28084597250725
hsa-miR-320b	38	1219	381.1	330.94	77.59	1:hsa;hsa-mir-320b-2,224257080,224257101,-	103.46434535758216	24.256444007263436
hsa-miR-320b	34	1215	378.6	329.86	77.33	1:hsa;hsa-mir-320b-1,116671787,116671808,+	102.78562571603301	24.097323250011573
hsa-miR-95-3p	18	1178	1178	319.81	74.98	4:hsa;hsa-mir-95,8005349,8005370,-	319.81269509796095	74.97770081707873
hsa-miR-532-3p	21	1135	1135	308.14	72.24	X:hsa;hsa-mir-532,50003204,50003225,+	308.1387172633155	72.24082379234665
hsa-miR-140-3p	34	1129	1129	306.51	71.86	16:hsa;hsa-mir-140,69933142,69933162,+	306.50979012359755	71.85893397494218
hsa-miR-135b-5p	21	1024	1022.67	278	65.18	1:hsa;hsa-mir-135b,205448317,205448339,-	277.6415813697069	65.09099776649619
hsa-miR-505-3p	32	979	979	265.79	62.31	X:hsa;hsa-mir-505,139924198,139924219,-	265.78661163064834	62.311688539830286
hsa-miR-10a-3p	21	973	973	264.16	61.93	17:hsa;hsa-mir-10a,48579900,48579921,-	264.15768449093036	61.92979872242581
hsa-miR-194-5p	23	962	481	261.17	61.23	1:hsa;hsa-mir-194-1,220118171,220118192,-	130.58565903405707	30.6148336952588
hsa-miR-99b-3p	27	936	936	254.11	59.57	19:hsa;hsa-mir-99b,51692656,51692677,+	254.11263379600294	59.574811515098204
hsa-miR-196b-5p	21	921	921	250.04	58.62	7:hsa;hsa-mir-196b,27169494,27169515,-	250.040315946708	58.620086971587014
hsa-miR-361-3p	19	886	886	240.54	56.39	X:hsa;hsa-mir-361,85903680,85903702,-	240.53824096501987	56.39239637006091
hsa-miR-193a-5p	21	883	883	239.72	56.2	17:hsa;hsa-mir-193a,31560016,31560037,+	239.72377739516088	56.20145146135867
hsa-miR-484	28	867	867	235.38	55.18	16:hsa;hsa-mir-484,15643301,15643322,+	235.3799716892463	55.18307861494674
hsa-miR-200a-5p	19	839	839	227.78	53.4	1:hsa;hsa-mir-200a,1167878,1167899,+	227.77831170389578	53.40092613372585
hsa-miR-331-3p	19	836	836	226.96	53.21	12:hsa;hsa-mir-331,95308480,95308500,+	226.9638481340368	53.20998122502361
hsa-miR-874-3p	18	829	829	225.06	52.76	5:hsa;hsa-mir-874,137647618,137647639,-	225.06343313769918	52.76444310471839
hsa-miR-877-5p	23	813	813	220.72	51.75	6:hsa;hsa-mir-877,30584332,30584351,+	220.7196274317846	51.74607025830645
hsa-miR-29b-3p	20	807	396.67	219.09	51.36	7:hsa;hsa-mir-29b-1,130877509,130877531,-	107.69018312579895	25.247160150629224
hsa-miR-29b-3p	20	807	396.67	219.09	51.36	1:hsa;hsa-mir-29b-2,207802494,207802516,-	107.69018312579895	25.247160150629224
hsa-miR-891a-5p	22	803	803	218	51.11	X:hsa;hsa-mir-891a,146027804,146027825,-	218.00474886558797	51.109587229298995
hsa-let-7b-3p	16	797	797	216.38	50.73	22:hsa;hsa-let-7b,46113745,46113766,+	216.37582172587003	50.72769741189452
hsa-miR-1307-3p	20	778	778	211.22	49.52	10:hsa;hsa-mir-1307,103394332,103394353,-	211.21755245009646	49.51837965678035
hsa-miR-224-5p	19	774	774	210.13	49.26	X:hsa;hsa-mir-224,151958584,151958608,-	210.1316010236178	49.26378644517736
hsa-miR-15b-5p	16	767	767	208.23	48.82	3:hsa;hsa-mir-15b,160404607,160404628,+	208.2311860272802	48.818248324872144
hsa-miR-10b-3p	20	765	765	207.69	48.69	2:hsa;hsa-mir-10b,176150368,176150389,+	207.68821031404084	48.69095171907065
hsa-miR-148b-3p	15	753	753	204.43	47.93	12:hsa;hsa-mir-148b,54337278,54337299,+	204.43035603460493	47.9271720842617
hsa-miR-146b-5p	10	716	716	194.39	45.57	10:hsa;hsa-mir-146b,102436520,102436542,+	194.38530533967744	45.572184876934095
hsa-miR-28-5p	10	695	695	188.68	44.24	3:hsa;hsa-mir-28,188688794,188688815,+	188.68406035066457	44.235570516018434
hsa-miR-106b-5p	16	688	688	186.78	43.79	7:hsa;hsa-mir-106b,100094004,100094024,-	186.78364535432695	43.79003239571321
hsa-miR-181a-2-3p	17	683	683	185.43	43.47	9:hsa;hsa-mir-181a-2,124692518,124692539,+	185.42620607122862	43.47179088120948
hsa-miR-152-3p	14	672	672	182.44	42.77	17:hsa;hsa-mir-152,48037214,48037234,-	182.43983964841235	42.771659549301276
hsa-miR-125b-2-3p	22	640	640	173.75	40.73	21:hsa;hsa-mir-125b-2,16590290,16590311,+	173.7522282365832	40.734913856477405
hsa-miR-149-5p	14	630	630	171.04	40.1	2:hsa;hsa-mir-149,240456015,240456037,+	171.0373496703866	40.09843082746995
hsa-miR-320c	17	605	155.93	164.25	38.51	18:hsa;hsa-mir-320c-2,24321716,24321735,+	42.33432964205514	9.92496780411215
hsa-miR-501-5p	26	594	594	161.26	37.81	X:hsa;hsa-mir-501,50009735,50009756,+	161.26378683207878	37.807091923043096
hsa-miR-320c	10	555	116.52	150.68	35.32	18:hsa;hsa-mir-320c-1,21683559,21683578,+	31.63318329363017	7.416163864774416
hsa-miR-363-3p	15	543	543	147.42	34.56	X:hsa;hsa-mir-363,134169427,134169448,-	147.41790614447606	34.56102847510505
hsa-miR-345-5p	22	529	529	143.62	33.67	14:hsa;hsa-mir-345,100307876,100307897,+	143.6170761518008	33.66995223449461
hsa-miR-320d	13	520	243.27	141.17	33.1	13:hsa;hsa-mir-320d-1,40727857,40727875,-	66.04426912017223	15.483586257443966
hsa-miR-584-5p	14	501	501	136.02	31.89	5:hsa;hsa-mir-584,149062328,149062349,-	136.01541616645028	31.88779975327372
hsa-miR-125a-3p	14	492	492	133.57	31.31	19:hsa;hsa-mir-125a,51693306,51693327,+	133.57202545687332	31.314965027167005
hsa-miR-320d	7	487	210.27	132.21	31	X:hsa;hsa-mir-320d-2,140926201,140926219,-	57.085169851723414	13.383192261719348
hsa-miR-340-3p	15	483	483	131.13	30.74	5:hsa;hsa-mir-340,180015360,180015381,-	131.1286347472964	30.742130301060293
hsa-miR-615-3p	16	480	480	130.31	30.55	12:hsa;hsa-mir-615,54034010,54034031,+	130.3141711774374	30.551185392358054
hsa-miR-9-3p	6	470	160.33	127.6	29.91	1:hsa;hsa-mir-9-1,156420395,156420416,-	43.52855301135235	10.204944565086265
hsa-miR-340-5p	6	470	470	127.6	29.91	5:hsa;hsa-mir-340,180015318,180015339,-	127.59929261124078	29.914702363350596
hsa-miR-9-3p	6	470	160.33	127.6	29.91	5:hsa;hsa-mir-9-2,88666905,88666926,-	43.52855301135235	10.204944565086265
hsa-miR-324-3p	12	467	467	126.78	29.72	17:hsa;hsa-mir-324,7223346,7223368,-	126.7848290413818	29.723757454648357
hsa-miR-9-3p	5	448	149.33	121.63	28.51	15:hsa;hsa-mir-9-3,89368071,89368092,+	40.542186588536076	9.50481323317806
hsa-miR-328-3p	13	445	445	120.81	28.32	16:hsa;hsa-mir-328,67202368,67202389,-	120.81209619574925	28.323494790831948
hsa-miR-20a-5p	6	389	388.5	105.61	24.76	13:hsa;hsa-mir-20a,91351072,91351094,+	105.4730322967384	24.7273656769398
hsa-let-7a-3p	11	381	190.5	103.44	24.25	9:hsa;hsa-let-7a-1,94176013,94176033,+	51.718436686045465	12.125001702592103
hsa-miR-188-5p	11	381	381	103.44	24.25	X:hsa;hsa-mir-188,50003517,50003537,+	103.43687337209093	24.250003405184206
hsa-let-7a-3p	11	381	190.5	103.44	24.25	22:hsa;hsa-let-7a-3,46112800,46112820,+	51.718436686045465	12.125001702592103
hsa-miR-598-3p	10	380	380	103.17	24.19	8:hsa;hsa-mir-598,11035266,11035287,-	103.16538551547127	24.18635510228346
hsa-miR-34a-5p	9	378	378	102.62	24.06	1:hsa;hsa-mir-34a,9151689,9151710,-	102.62240980223196	24.059058496481967
hsa-miR-1301-3p	14	377	377	102.35	24	2:hsa;hsa-mir-1301,25328687,25328710,-	102.35092194561228	23.995410193581222
hsa-miR-888-5p	7	374	374	101.54	23.8	X:hsa;hsa-mir-888,145994794,145994814,-	101.53645837575331	23.804465284878983
hsa-miR-335-3p	10	372	372	100.99	23.68	7:hsa;hsa-mir-335,130496162,130496183,+	100.99348266251398	23.677168679077493
hsa-miR-21-3p	10	369	369	100.18	23.49	17:hsa;hsa-mir-21,59841311,59841331,+	100.179019092655	23.486223770375254
hsa-miR-151b	7	361	202	98.01	22.98	14:hsa;hsa-mir-151b,100109478,100109495,-	54.840547037171575	12.856957185950682
hsa-miR-135a-5p	13	360	206.67	97.74	22.91	3:hsa;hsa-mir-135a-1,52294235,52294257,-	56.107490368063324	13.153982599487495
hsa-miR-934	15	358	358	97.19	22.79	X:hsa;hsa-mir-934,136550892,136550913,+	97.19265266983872	22.786092438467048
hsa-miR-664a-5p	7	351	351	95.29	22.34	1:hsa;hsa-mir-664a,220200548,220200571,-	95.29223767350109	22.34055431816183
hsa-miR-513c-5p	8	349	349	94.75	22.21	X:hsa;hsa-mir-513c,147189717,147189738,-	94.74926196026178	22.213257712360335
hsa-miR-106b-3p	12	344	344	93.39	21.9	7:hsa;hsa-mir-106b,100094044,100094065,-	93.39182267716347	21.895016197856606
hsa-miR-98-3p	6	325	325	88.23	20.69	X:hsa;hsa-mir-98,53556302,53556323,-	88.2335534013899	20.68569844274243
hsa-miR-744-5p	11	323	323	87.69	20.56	17:hsa;hsa-mir-744,12081909,12081930,+	87.69057768815058	20.55840183694094
hsa-miR-93-3p	8	321	321	87.15	20.43	7:hsa;hsa-mir-93,100093817,100093838,-	87.14760197491125	20.431105231139448
hsa-miR-146a-5p	11	312	312	84.7	19.86	5:hsa;hsa-mir-146a,160485372,160485393,+	84.70421126533431	19.858270505032735
hsa-miR-185-5p	7	311	311	84.43	19.79	22:hsa;hsa-mir-185,20033153,20033174,+	84.43272340871465	19.79462220213199
hsa-miR-17-5p	7	311	310.5	84.43	19.79	13:hsa;hsa-mir-17,91350618,91350640,+	84.29697948040481	19.762798050681617
hsa-miR-135a-5p	12	306	152.67	83.08	19.48	12:hsa;hsa-mir-135a-2,97563834,97563856,+	41.447146110601615	9.716974242847215
hsa-miR-628-3p	7	294	294	79.82	18.71	15:hsa;hsa-mir-628,55373000,55373020,-	79.8174298461804	18.71260105281931
hsa-miR-500a-5p	8	289	167.5	78.46	18.39	X:hsa;hsa-mir-500a,50008443,50008465,+	45.47421598379326	10.661090735874946
hsa-miR-19b-3p	7	271	135.5	73.57	17.25	13:hsa;hsa-mir-19b-1,91351245,91351267,+	36.7866045719641	8.624345043051076
hsa-miR-19b-3p	7	271	135.5	73.57	17.25	X:hsa;hsa-mir-19b-2,134169732,134169754,-	36.7866045719641	8.624345043051076
