name	unique reads 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	PM180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32 (total)	coordinateString 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
hsa-miR-7-5p	446	85353	29946	9300.63	6627.42	15:hsa;hsa-mir-7-2,88611856,88611879,+	3263.114870121016	2325.2216903909666
hsa-miR-181b-5p	705	84637	42338.75	9222.61	6571.82	1:hsa;hsa-mir-181b-1,198858908,198858930,-	4613.511143636444	3287.4834650384387
hsa-miR-7-5p	406	83518	28072.5	9100.68	6484.94	9:hsa;hsa-mir-7-1,83969771,83969794,-	3058.9658782966735	2179.749746326734
hsa-miR-7-5p	402	83290	27843.5	9075.83	6467.23	19:hsa;hsa-mir-7-3,4770700,4770723,+	3034.0125187408826	2161.968547932974
hsa-miR-103a-3p	473	81994	40568	8934.61	6366.6	20:hsa;hsa-mir-103a-2,3917541,3917563,+	4420.558473621533	3149.9897661050386
hsa-miR-103a-3p	458	81711	40285	8903.77	6344.63	5:hsa;hsa-mir-103a-1,168560943,168560965,-	4389.720915742542	3128.0156213651517
hsa-let-7e-5p	489	78980	77853.95	8606.18	6132.57	19:hsa;hsa-let-7e,51692793,51692814,+	8483.483000823462	6045.137688593292
hsa-miR-92a-3p	494	76835	40026.67	8372.45	5966.02	13:hsa;hsa-mir-92a-1,91351361,91351382,+	4361.571201542038	3107.9567731043508
hsa-miR-92a-3p	443	73948	37139.67	8057.86	5741.85	X:hsa;hsa-mir-92a-2,134169585,134169606,-	4046.9845245220877	2883.7894378956835
hsa-miR-100-5p	396	71910	71862	7835.79	5583.61	11:hsa;hsa-mir-100,122152241,122152262,-	7830.560368551314	5579.879820840061
hsa-miR-487b-3p	403	68570	68570	7471.84	5324.27	14:hsa;hsa-mir-487b,101046505,101046526,+	7471.842204107367	5324.265388035444
hsa-miR-26b-5p	338	67909	67864.33	7399.82	5272.94	2:hsa;hsa-mir-26b,218402657,218402677,+	7394.948081575185	5269.472379302417
hsa-miR-29a-3p	500	60758	60726.67	6620.59	4717.69	7:hsa;hsa-mir-29a,130876788,130876809,-	6617.180558768558	4715.252872452953
hsa-miR-24-3p	446	60628	30569.5	6606.43	4707.59	9:hsa;hsa-mir-24-1,95086064,95086085,+	3331.0555674268653	2373.634691257831
hsa-miR-24-3p	423	60132	30073.5	6552.38	4669.08	19:hsa;hsa-mir-24-2,13836336,13836357,-	3277.0081161619205	2335.121702597111
hsa-miR-21-5p	416	59476	59476	6480.9	4618.14	17:hsa;hsa-mir-21,59841273,59841294,+	6480.899619826305	4618.142164485869
hsa-miR-23b-3p	489	56539	56211.33	6160.86	4390.09	9:hsa;hsa-mir-23b,95085265,95085287,+	6125.15987675583	4364.650087239167
hsa-miR-99a-5p	448	54128	54080	5898.15	4202.89	21:hsa;hsa-mir-99a,16539101,16539122,+	5892.915654048803	4199.158118491421
hsa-miR-191-5p	365	52735	52735	5746.36	4094.72	3:hsa;hsa-mir-191,49020633,49020655,-	5746.3555291468865	4094.722695611041
hsa-miR-151a-5p	156	51424	50296	5603.5	3992.93	8:hsa;hsa-mir-151a,140732574,140732594,-	5480.58590488237	3905.3412856443147
hsa-let-7d-5p	312	43617	42230.45	4752.8	3386.74	9:hsa;hsa-let-7d,94178841,94178862,+	4601.710056999358	3279.0742781998165
hsa-miR-139-5p	364	43334	43334	4721.96	3364.76	11:hsa;hsa-mir-139,72615069,72615091,-	4721.960187732078	3364.7617956121903
hsa-miR-99b-5p	341	40774	40774	4443.01	3165.99	19:hsa;hsa-mir-99b,51692618,51692639,+	4443.005600558171	3165.9850799439573
hsa-miR-129-5p	358	37688	18874	4106.73	2926.37	7:hsa;hsa-mir-129-1,128207876,128207896,+	2056.636280593881	1465.5123951258706
hsa-miR-129-5p	353	37653	18839	4102.92	2923.65	11:hsa;hsa-mir-129-2,43581408,43581428,+	2052.822448347363	1462.7947447163442
hsa-miR-126-3p	320	37163	37163	4049.53	2885.6	9:hsa;hsa-mir-126,136670653,136670674,+	4049.5270793531	2885.6012048353678
hsa-miR-16-5p	285	36610	18341.17	3989.27	2842.66	3:hsa;hsa-mir-16-2,160404754,160404775,+	1998.5752249171244	1424.1394029389344
hsa-miR-16-5p	280	36587	18318.17	3986.76	2840.88	13:hsa;hsa-mir-16-1,50048986,50049007,-	1996.0689922979836	1422.3535183841025
hsa-miR-30c-5p	260	33045	16554.5	3600.8	2565.85	1:hsa;hsa-mir-30c-1,40757300,40757322,+	1803.8881692853347	1285.4098201288136
hsa-miR-30c-5p	259	33018	16527.5	3597.86	2563.75	6:hsa;hsa-mir-30c-2,71376966,71376988,-	1800.946070123735	1283.3133469557501
hsa-miR-379-5p	267	32579	32579	3550.02	2529.67	14:hsa;hsa-mir-379,101022071,101022091,+	3550.0240216948214	2529.666648341938
hsa-miR-22-3p	185	30457	30457	3318.8	2364.9	17:hsa;hsa-mir-22,1713955,1713976,-	3318.7968209201995	2364.899386370067
hsa-miR-92b-3p	385	29486	29478.67	3212.99	2289.5	1:hsa;hsa-mir-92b,155195237,155195258,+	3212.1911290770454	2288.9345868275846
hsa-miR-338-5p	173	29248	29248	3187.06	2271.02	17:hsa;hsa-mir-338,81125888,81125909,-	3187.0561584618968	2271.0239765095616
hsa-miR-30e-5p	349	29048	28860.5	3165.26	2255.49	1:hsa;hsa-mir-30e,40754371,40754392,+	3144.831587161159	2240.935704118374
hsa-miR-132-3p	263	28839	28839	3142.49	2239.27	17:hsa;hsa-mir-132,2049966,2049987,-	3142.4888044954405	2239.2662902953793
hsa-miR-423-3p	349	28457	28457	3100.86	2209.61	17:hsa;hsa-mir-423,30117131,30117153,+	3100.863549690584	2209.60507725426
hsa-miR-451a	201	27970	27970	3047.8	2171.79	17:hsa;hsa-mir-451a,28861385,28861406,-	3047.7967981461725	2171.790912984561
hsa-miR-101-3p	299	26340	13241.5	2870.18	2045.23	9:hsa;hsa-mir-101-2,4850345,4850365,+	1442.8817054934766	1028.1647970784793
hsa-miR-101-3p	297	26198	13099.5	2854.71	2034.2	1:hsa;hsa-mir-101-1,65058480,65058500,-	1427.408443236174	1017.138901131257
hsa-miR-221-3p	369	25461	25461	2774.4	1976.97	X:hsa;hsa-mir-221,45746221,45746243,-	2774.39950938862	1976.974202198781
hsa-miR-320a-3p	340	25207	23937.06	2746.72	1957.25	8:hsa;hsa-mir-320a,22245007,22245028,-	2608.340583376545	1858.6443756327965
hsa-miR-218-5p	265	22327	11242.5	2432.9	1733.63	4:hsa;hsa-mir-218-1,20528299,20528319,+	1225.057400899476	872.9481351172301
hsa-miR-218-5p	251	22171	11086.5	2415.9	1721.52	5:hsa;hsa-mir-218-2,168768170,168768190,-	1208.058605743566	860.8351790061972
hsa-miR-146b-5p	194	20333	20333	2215.62	1578.8	10:hsa;hsa-mir-146b,102436520,102436542,+	2215.618601955886	1578.799593625852
hsa-miR-10b-5p	214	20164	20149.5	2197.2	1565.68	2:hsa;hsa-mir-10b,176150329,176150351,+	2195.6232243205686	1564.5513407644767
hsa-miR-151a-3p	347	20099	20099	2190.12	1560.63	8:hsa;hsa-mir-151a,140732610,140732630,-	2190.120409222021	1560.6301594593026
hsa-miR-340-5p	131	19876	19876	2165.82	1543.31	5:hsa;hsa-mir-340,180015318,180015339,-	2165.8208494799187	1543.31484399289
hsa-miR-10a-5p	225	17290	17275.5	1884.03	1342.52	17:hsa;hsa-mir-10a,48579859,48579881,-	1882.4531135636112	1341.393418565062
hsa-miR-338-3p	158	16715	16715	1821.38	1297.87	17:hsa;hsa-mir-338,81125924,81125945,-	1821.3773143015114	1297.872188435357
hsa-miR-323a-3p	173	16568	16547	1805.36	1286.46	14:hsa;hsa-mir-323a,101025782,101025802,+	1803.0709195182237	1284.8274664696294
hsa-miR-222-3p	286	16466	16466	1794.24	1278.54	X:hsa;hsa-mir-222,45747083,45747103,-	1794.2446220334243	1278.5380469504391
hsa-miR-23a-3p	208	16347	16051.33	1781.28	1269.3	19:hsa;hsa-mir-23a,13836631,13836651,-	1749.0597904651506	1246.3403601937619
hsa-miR-93-5p	196	14616	14616	1592.66	1134.89	7:hsa;hsa-mir-93,100093778,100093800,-	1592.65634614603	1134.8908110183177
hsa-miR-95-3p	143	14444	14444	1573.91	1121.54	4:hsa;hsa-mir-95,8005349,8005370,-	1573.914084820283	1121.5355004343583
hsa-miR-204-5p	197	14438	14412	1573.26	1121.07	9:hsa;hsa-mir-204,70810007,70810028,-	1570.4271524806093	1119.0507914885054
hsa-miR-335-5p	146	12646	12646	1377.99	981.93	7:hsa;hsa-mir-335,130496126,130496148,+	1377.9920739848587	981.9259165392477
hsa-miR-27a-3p	184	12608	10341.83	1373.85	978.98	19:hsa;hsa-mir-27a,13836490,13836510,-	1126.9147844224062	803.0139312454119
hsa-miR-433-3p	169	12212	12212	1330.7	948.23	14:hsa;hsa-mir-433,100881949,100881970,+	1330.700554128032	948.2270514611176
hsa-miR-329-3p	234	12009	6004.5	1308.58	932.46	14:hsa;hsa-mir-329-1,101026834,101026855,+	654.2901635491131	466.2323395429316
hsa-miR-329-3p	234	12009	6004.5	1308.58	932.46	14:hsa;hsa-mir-329-2,101027151,101027172,+	654.2901635491131	466.2323395429316
hsa-miR-30a-3p	191	11550	11534	1258.56	896.82	6:hsa;hsa-mir-30a,71403597,71403618,-	1256.8211751811925	895.5822806708591
hsa-miR-369-3p	101	11546	11546	1258.13	896.51	14:hsa;hsa-mir-369,101065641,101065661,+	1258.1287748085701	896.5140465255539
hsa-miR-340-3p	164	11377	11377	1239.71	883.39	5:hsa;hsa-mir-340,180015360,180015381,-	1239.7134133896677	883.3916774052682
hsa-miR-495-3p	135	10944	10944	1192.53	849.77	14:hsa;hsa-mir-495,101033804,101033825,+	1192.530860168456	849.770459481696
hsa-miR-411-5p	151	10779	10779	1174.55	836.96	14:hsa;hsa-mir-411,101023340,101023360,+	1174.5513652920126	836.9586789796418
hsa-miR-1-3p	96	10100	5130	1100.56	784.24	18:hsa;hsa-mir-1-2,21829056,21829077,-	558.9988407039638	398.32990288204496
hsa-miR-1-3p	93	9943	4973	1083.46	772.05	20:hsa;hsa-mir-1-1,62554351,62554372,+	541.891078912439	386.13929961645414
hsa-miR-342-3p	187	9612	9612	1047.39	746.34	14:hsa;hsa-mir-342,100109715,100109737,+	1047.3873015295321	746.3444496105685
hsa-miR-423-5p	172	9512	9512	1036.49	738.58	17:hsa;hsa-mir-423,30117095,30117117,+	1036.4906379680513	738.5797341547782
hsa-miR-149-5p	148	9339	9339	1017.64	725.15	2:hsa;hsa-mir-149,240456015,240456037,+	1017.6394100066894	725.1467764162609
hsa-miR-382-5p	130	9225	9225	1005.22	716.3	14:hsa;hsa-mir-382,101054316,101054337,+	1005.2172135466014	716.2950007966598
hsa-miR-140-3p	247	9168	9168	999.01	711.87	16:hsa;hsa-mir-140,69933142,69933162,+	999.0061153165574	711.8691129868594
hsa-miR-330-3p	204	8865	8865	965.99	688.34	19:hsa;hsa-mir-330,45639050,45639072,-	965.9892247252707	688.3420251558146
hsa-miR-409-3p	149	8740	8740	952.37	678.64	14:hsa;hsa-mir-409,101065346,101065367,+	952.3683952734197	678.6361308360766
hsa-miR-29b-3p	150	8572	4214.83	934.06	665.59	1:hsa;hsa-mir-29b-2,207802494,207802516,-	459.2762080104789	327.269815269137
hsa-miR-29b-3p	148	8552	4194.83	931.88	664.04	7:hsa;hsa-mir-29b-1,130877509,130877531,-	457.09687529818274	325.7168721779789
hsa-miR-25-3p	146	8221	8221	895.81	638.34	7:hsa;hsa-mir-25,100093611,100093632,-	895.8147113893344	638.3372576205247
hsa-let-7d-3p	122	8196	8196	893.09	636.4	9:hsa;hsa-let-7d,94178895,94178916,+	893.0905454989643	636.3960787565771
hsa-miR-132-5p	146	8147	8147	887.75	632.59	17:hsa;hsa-mir-132,2049930,2049951,-	887.7511803538387	632.5913681832399
hsa-miR-30e-3p	130	7359	7342.5	801.89	571.41	1:hsa;hsa-mir-30e,40754413,40754434,+	800.0875220017258	570.1242323414065
hsa-miR-370-3p	131	7201	7201	784.67	559.14	14:hsa;hsa-mir-370,100911186,100911207,+	784.6687430622305	559.1371599714631
hsa-miR-584-5p	122	6986	6986	761.24	542.44	5:hsa;hsa-mir-584,149062328,149062349,-	761.2409164050468	542.4430217415139
hsa-miR-186-5p	105	6907	6907	752.63	536.31	1:hsa;hsa-mir-186,71067645,71067666,-	752.6325521914771	536.3088965314395
hsa-miR-195-5p	112	6902	6896.67	752.09	535.92	17:hsa;hsa-mir-195,7017629,7017649,-	751.5065636234573	535.5065426010078
hsa-miR-125b-2-3p	160	6787	6787	739.56	526.99	21:hsa;hsa-mir-125b-2,16590290,16590311,+	739.5565559177002	526.9912379844911
hsa-miR-769-5p	150	6704	6704	730.51	520.55	19:hsa;hsa-mir-769,46018961,46018982,+	730.5123251616711	520.5465241561851
hsa-miR-432-5p	159	6665	6665	726.26	517.52	14:hsa;hsa-mir-432,100884496,100884518,+	726.2626263726936	517.5182851284269
hsa-miR-543	104	6060	6060	660.34	470.54	14:hsa;hsa-mir-543,101032033,101032054,+	660.3378118257349	470.5417566208952
hsa-miR-361-5p	96	6055	6055	659.79	470.15	X:hsa;hsa-mir-361,85903641,85903662,-	659.7929786476609	470.1535208481057
hsa-miR-375-3p	107	5866	5866	639.2	455.48	2:hsa;hsa-mir-375,219001684,219001705,-	639.1982845164622	455.478208636662
hsa-miR-885-5p	82	5851	5851	637.56	454.31	3:hsa;hsa-mir-885,10394499,10394520,-	637.5637849822401	454.3135013182934
hsa-miR-652-3p	113	5814	5814	633.53	451.44	X:hsa;hsa-mir-652,110055389,110055409,+	633.5320194644922	451.44055659965096
hsa-miR-374b-5p	98	5770	5678.5	628.74	448.02	X:hsa;hsa-mir-374b,74218557,74218578,-	618.7670403386858	440.91936715705504
hsa-miR-127-3p	141	5704	5704	621.55	442.9	14:hsa;hsa-mir-127,100883035,100883056,+	621.5456895468634	442.89936959828157
hsa-miR-1180-3p	115	5526	5526	602.15	429.08	17:hsa;hsa-mir-1180,19344546,19344567,-	602.1496284074276	429.07817608697474
hsa-miR-29c-3p	123	5356	5038.67	583.63	415.88	1:hsa;hsa-mir-29c,207801905,207801926,-	549.0465546511446	391.2381294324231
hsa-miR-107	150	5158	2876.67	562.05	400.5	10:hsa;hsa-mir-107,89592796,89592818,-	313.46068845193105	223.36498127823629
hsa-miR-598-3p	93	5118	5118	557.69	397.4	8:hsa;hsa-mir-598,11035266,11035287,-	557.691241076586	397.3981370273501
hsa-miR-3613-5p	40	5097	5097	555.4	395.77	13:hsa;hsa-mir-3613,49996430,49996451,-	555.402941728675	395.76754678163417
hsa-miR-425-5p	116	4961	4961	540.58	385.21	3:hsa;hsa-mir-425,49020161,49020183,-	540.5834792850612	385.2075337617593
hsa-miR-126-5p	80	4661	4661	507.89	361.91	9:hsa;hsa-mir-126,136670616,136670636,+	507.89348860061887	361.9133873943882
hsa-miR-485-5p	82	4655	4655	507.24	361.45	14:hsa;hsa-mir-485,101055427,101055448,+	507.23968878693006	361.4475044670408
hsa-miR-328-3p	104	4653	4653	507.02	361.29	16:hsa;hsa-mir-328,67202368,67202389,-	507.0217555157004	361.292210157925
hsa-miR-200c-3p	93	4647	4646	506.37	360.83	12:hsa;hsa-mir-200c,6963742,6963764,+	506.2589890663968	360.7486800760197
hsa-miR-136-3p	89	4617	4617	503.1	358.5	14:hsa;hsa-mir-136,100884750,100884771,+	503.09895663356735	358.4969125938405
hsa-miR-148b-3p	97	4616	4601.5	502.99	358.42	12:hsa;hsa-mir-148b,54337278,54337299,+	501.4099737815378	357.29338169819295
hsa-miR-485-3p	83	4425	4425	482.18	343.59	14:hsa;hsa-mir-485,101055464,101055485,+	482.17736259552424	343.588658918723
hsa-miR-30b-5p	61	4378	4378	477.06	339.94	8:hsa;hsa-mir-30b,134800536,134800557,-	477.0559307216283	339.9392426545015
hsa-miR-200b-3p	114	4280	4279	466.38	332.33	1:hsa;hsa-mir-200b,1167160,1167181,+	466.26823379576234	332.2521743532691
hsa-miR-145-5p	80	4214	4214	459.19	327.21	5:hsa;hsa-mir-145,149430661,149430683,+	459.18540248079984	327.2051093070054
hsa-miR-135a-5p	52	4105	2058.83	447.31	318.74	12:hsa;hsa-mir-135a-2,97563834,97563856,+	224.3441416249533	159.862550042297
hsa-miR-135a-5p	51	4092	2045.83	445.89	317.73	3:hsa;hsa-mir-135a-1,52294235,52294257,-	222.92757536196083	158.85313703304425
hsa-miR-181c-5p	86	3984	3984	434.12	309.35	19:hsa;hsa-mir-181c,13874725,13874746,+	434.123076289394	309.34626375868754
hsa-miR-744-5p	89	3903	3903	425.3	303.06	17:hsa;hsa-mir-744,12081909,12081930,+	425.2967788045946	303.05684423949737
hsa-miR-1301-3p	134	3883	3883	423.12	301.5	2:hsa;hsa-mir-1301,25328687,25328710,-	423.11744609229845	301.5039011483393
hsa-miR-486-5p	90	3838	1919	418.21	298.01	8:hsa;hsa-mir-486-1,41660444,41660465,-	209.10697374481606	149.00488959661683
hsa-miR-486-5p	90	3838	1919	418.21	298.01	8:hsa;hsa-mir-486-2,41660444,41660465,+	209.10697374481606	149.00488959661683
hsa-miR-889-3p	47	3805	3805	414.62	295.45	14:hsa;hsa-mir-889,101047949,101047969,+	414.61804851434346	295.4474230928228
hsa-miR-197-3p	58	3785	3785	412.44	293.89	1:hsa;hsa-mir-197,109598940,109598961,+	412.4387158020473	293.89448000166476
hsa-miR-361-3p	106	3611	3611	393.48	280.38	X:hsa;hsa-mir-361,85903680,85903702,-	393.47852120507076	280.38387510858956
hsa-miR-138-5p	108	3536	2847.5	385.31	274.56	3:hsa;hsa-mir-138-1,44114234,44114256,+	310.28249491316507	221.10027260363023
hsa-miR-203a-3p	74	3048	3048	332.13	236.67	14:hsa;hsa-mir-203a,104117469,104117490,+	332.130305353934	236.66852709248988
hsa-miR-185-5p	85	3020	3020	329.08	234.49	22:hsa;hsa-mir-185,20033153,20033174,+	329.07923955671936	234.4944067648686
hsa-miR-382-3p	55	2923	2923	318.51	226.96	14:hsa;hsa-mir-382,101054352,101054372,+	318.509475902083	226.96263277275193
hsa-miR-363-3p	69	2845	2845	310.01	220.91	X:hsa;hsa-mir-363,134169427,134169448,-	310.010078324128	220.90615471723547
hsa-miR-151b	41	2660	1532	289.85	206.54	14:hsa;hsa-mir-151b,100109478,100109495,-	166.93688576188546	118.95544078270817
hsa-miR-15a-5p	59	2640	2640	287.67	204.99	13:hsa;hsa-mir-15a,50049132,50049153,-	287.6719180230924	204.98848803286526
hsa-miR-421	95	2565	2565	279.5	199.16	X:hsa;hsa-mir-421,74218424,74218446,-	279.4994203519819	199.16495144102248
hsa-miR-15b-5p	45	2543	2543	277.1	197.46	3:hsa;hsa-mir-15b,160404607,160404628,+	277.10215436845607	197.4567140407486
hsa-miR-139-3p	87	2485	2485	270.78	192.95	11:hsa;hsa-mir-139,72615105,72615127,-	270.78208950279725	192.9531790763902
hsa-miR-28-3p	44	2403	2403	261.85	186.59	3:hsa;hsa-mir-28,188688834,188688855,+	261.84682538238303	186.58611240264213
hsa-miR-146a-5p	64	2378	2378	259.12	184.64	5:hsa;hsa-mir-146a,160485372,160485393,+	259.1226594920128	184.64493353869454
hsa-miR-31-5p	81	2357	2357	256.83	183.01	9:hsa;hsa-mir-31,21512122,21512142,-	256.8343601441018	183.01434329297857
hsa-miR-574-3p	60	2303	2303	250.95	178.82	4:hsa;hsa-mir-574,38868092,38868113,+	250.95016182090222	178.82139694685176
hsa-miR-656-3p	35	2279	2279	248.33	176.96	14:hsa;hsa-mir-656,101066766,101066786,+	248.33496256614686	176.95786523746207
hsa-miR-874-3p	75	2215	2215	241.36	171.99	5:hsa;hsa-mir-874,137647618,137647639,-	241.36109788679914	171.98844734575627
hsa-miR-148a-3p	63	2140	2125.5	233.19	166.16	7:hsa;hsa-mir-148a,25949962,25949983,-	231.60858399927386	165.0390270128239
hsa-miR-99b-3p	88	2090	2090	227.74	162.28	19:hsa;hsa-mir-99b,51692656,51692677,+	227.74026843494818	162.28255302601832
hsa-miR-28-5p	36	2085	2085	227.2	161.89	3:hsa;hsa-mir-28,188688794,188688815,+	227.19543525687413	161.8943172532288
hsa-miR-129-1-3p	40	1938	1911.5	211.18	150.48	7:hsa;hsa-mir-129-1,128207920,128207941,+	208.289723977705	148.42253593743254
hsa-miR-181d-5p	89	1935	1891	210.85	150.25	19:hsa;hsa-mir-181d,13874910,13874932,+	206.05590794760136	146.83076926899548
hsa-miR-137-3p	48	1931	1931	210.41	149.94	1:hsa;hsa-mir-137,98046128,98046150,-	210.41457337219376	149.93665545131168
hsa-miR-320b	62	1917	497.72	208.89	148.85	1:hsa;hsa-mir-320b-2,224257080,224257101,-	54.235288989194906	38.64683756524375
hsa-miR-504-5p	52	1898	1898	206.82	147.37	X:hsa;hsa-mir-504,138667723,138667744,-	206.8186743969051	147.37429935090086
hsa-miR-374a-5p	36	1895	1894.5	206.49	147.14	X:hsa;hsa-mir-374a,74287297,74287318,-	206.43729117225325	147.1025343099482
hsa-miR-320b	53	1885	469.22	205.4	146.36	1:hsa;hsa-mir-320b-1,116671787,116671808,+	51.129739874172884	36.4338936603435
hsa-miR-323b-3p	45	1884	1863	205.29	146.29	14:hsa;hsa-mir-323b,101056269,101056290,+	203.00484215038682	144.65664894137421
hsa-miR-378a-3p	33	1832	1819.5	199.63	142.25	5:hsa;hsa-mir-378a,149732867,149732888,+	198.2647935011427	141.27899771810542
hsa-miR-223-3p	61	1821	1821	198.43	141.4	X:hsa;hsa-mir-223,66018937,66018958,+	198.4282434545649	141.39546844994229
hsa-miR-499a-5p	44	1794	1794	195.49	139.3	20:hsa;hsa-mir-499a,34990408,34990428,+	195.4861442929651	139.29899527687888
hsa-miR-34a-5p	55	1773	1773	193.2	137.67	1:hsa;hsa-mir-34a,9151689,9151710,-	193.19784494505413	137.6684050311629
hsa-miR-628-5p	47	1772	1772	193.09	137.59	15:hsa;hsa-mir-628,55372962,55372983,-	193.0888783094393	137.590757876605
hsa-miR-484	73	1767	1767	192.54	137.2	16:hsa;hsa-mir-484,15643301,15643322,+	192.54404513136527	137.20252210381548
