name	unique reads 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35	181003-190524_Brain_S35 (mult. map. adj.)	PM181003-190524_Brain_S35(lib)	181003-190524_Brain_S35 (total)	coordinateString 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35 (lib)	181003-190524_Brain_S35 (total)
hsa-miR-30c-5p	606	142737	71481.5	5642.66	4446.54	6:hsa;hsa-mir-30c-2,71376966,71376988,-	2825.7989237205265	2226.789308221359
hsa-miR-30c-5p	601	142641	71385.5	5638.87	4443.55	1:hsa;hsa-mir-30c-1,40757300,40757322,+	2822.0038621077015	2223.7987194174134
hsa-miR-181b-5p	1273	141794	73473.83	5605.39	4417.16	9:hsa;hsa-mir-181b-2,124693725,124693747,+	2904.5596294839143	2288.854409892134
hsa-let-7d-5p	653	139952	130883.4	5532.57	4359.78	9:hsa;hsa-let-7d,94178841,94178862,+	5174.068407250591	4077.275319399557
hsa-miR-151a-5p	232	139693	136612	5522.33	4351.71	8:hsa;hsa-mir-151a,140732574,140732594,-	5400.530802617581	4255.73247588168
hsa-miR-181b-5p	1110	136686	68367	5403.46	4258.04	1:hsa;hsa-mir-181b-1,198858908,198858930,-	2702.6768467086035	2129.7665079100116
hsa-miR-26b-5p	519	135171	135082.5	5343.57	4210.84	2:hsa;hsa-mir-26b,218402657,218402677,+	5340.066774109078	4208.08554280215
hsa-miR-191-5p	671	132495	132495	5237.78	4127.48	3:hsa;hsa-mir-191,49020633,49020655,-	5237.778004075896	4127.479828945797
hsa-miR-487b-3p	695	124635	124634	4927.06	3882.63	14:hsa;hsa-mir-487b,101046505,101046526,+	4927.017802634025	3882.5942186560283
hsa-miR-23b-3p	891	119885	119238	4739.28	3734.65	9:hsa;hsa-mir-23b,95085265,95085287,+	4713.703714479804	3714.4982063009093
hsa-miR-99a-5p	686	111430	111201.5	4405.04	3471.26	21:hsa;hsa-mir-99a,16539101,16539122,+	4396.0056660269875	3464.145425853927
hsa-miR-21-5p	609	110700	110700	4376.18	3448.52	17:hsa;hsa-mir-21,59841273,59841294,+	4376.180422289156	3448.522714549981
hsa-miR-29a-3p	816	110601	110422.5	4372.27	3445.44	7:hsa;hsa-mir-29a,130876788,130876809,-	4365.210322314582	3439.8780437885753
hsa-miR-129-5p	739	97237	48788.5	3843.96	3029.12	7:hsa;hsa-mir-129-1,128207876,128207896,+	1928.7017030971497	1519.857727721967
hsa-miR-129-5p	725	97063	48614.5	3837.08	3023.7	11:hsa;hsa-mir-129-2,43581408,43581428,+	1921.8231539239039	1514.4372855148154
hsa-miR-139-5p	587	87503	87503	3459.16	2725.89	11:hsa;hsa-mir-139,72615069,72615091,-	3459.159128198446	2725.8905428298735
hsa-miR-24-3p	533	83009	41936.5	3281.5	2585.89	9:hsa;hsa-mir-24-1,95086064,95086085,+	1657.8291804817452	1306.4044518403368
hsa-miR-24-3p	500	82146	41073.5	3247.39	2559.01	19:hsa;hsa-mir-24-2,13836336,13836357,-	1623.7131578581177	1279.5203045715325
hsa-miR-126-3p	727	80827	80827	3195.24	2517.92	9:hsa;hsa-mir-126,136670653,136670674,+	3195.244218539888	2517.9200130888103
hsa-miR-222-3p	876	77774	77774	3074.55	2422.81	X:hsa;hsa-mir-222,45747083,45747103,-	3074.5533528736837	2422.813058729993
hsa-miR-101-3p	647	76811	38836	3036.48	2392.81	9:hsa;hsa-mir-101-2,4850345,4850365,+	1535.2605499550284	1209.8177790629004
hsa-miR-101-3p	616	75951	37976	3002.49	2366.02	1:hsa;hsa-mir-101-1,65058480,65058500,-	1501.263123006802	1183.0270876942193
hsa-miR-151a-3p	889	74002	74002	2925.44	2305.31	8:hsa;hsa-mir-151a,140732610,140732630,-	2925.4390570030905	2305.30784030829
hsa-miR-379-5p	535	70444	70444	2784.78	2194.47	14:hsa;hsa-mir-379,101022071,101022091,+	2784.7845859777535	2194.469142762049
hsa-miR-92b-3p	844	67976	67974	2687.22	2117.59	1:hsa;hsa-mir-92b,155195237,155195258,+	2687.140813231102	2117.5237849938603
hsa-miR-338-5p	280	65148	65148	2575.42	2029.49	17:hsa;hsa-mir-338,81125888,81125909,-	2575.4236870035584	2029.488327077707
hsa-miR-132-3p	450	64666	64666	2556.37	2014.47	17:hsa;hsa-mir-132,2049966,2049987,-	2556.3693151558314	2014.4730791245624
hsa-miR-146b-5p	429	63290	63248	2501.97	1971.61	10:hsa;hsa-mir-146b,102436520,102436542,+	2500.3130925830583	1970.2995903329468
hsa-miR-221-3p	640	62948	62948	2488.45	1960.95	X:hsa;hsa-mir-221,45746221,45746243,-	2488.453525042979	1960.9540003206162
hsa-miR-320a-3p	721	62936	60135.94	2487.98	1960.58	8:hsa;hsa-mir-320a,22245007,22245028,-	2377.287303964738	1873.3526673119402
hsa-miR-30e-5p	570	56481	55714	2232.8	1759.49	1:hsa;hsa-mir-30e,40754371,40754392,+	2202.479819759874	1735.6006731566183
hsa-miR-423-3p	749	53754	53754	2125	1674.54	17:hsa;hsa-mir-423,30117131,30117153,+	2124.9973118313574	1674.5428184093919
hsa-miR-323a-3p	325	52699	52615	2083.29	1641.68	14:hsa;hsa-mir-323a,101025782,101025802,+	2079.9704870708574	1639.0607283292434
hsa-miR-16-5p	433	52589	26430.5	2078.94	1638.25	3:hsa;hsa-mir-16-2,160404754,160404775,+	1044.8476662268613	823.3620560696772
hsa-miR-16-5p	433	52533	26374.5	2076.73	1636.51	13:hsa;hsa-mir-16-1,50048986,50049007,-	1042.6338802860464	821.6175459340423
hsa-miR-218-5p	526	50194	25373.5	1984.26	1563.64	4:hsa;hsa-mir-218-1,20528299,20528319,+	1003.0624565939828	790.4344272595658
hsa-miR-218-5p	504	49737	24916.5	1966.2	1549.41	5:hsa;hsa-mir-218-2,168768170,168768190,-	984.9963820412625	776.1979784741156
hsa-miR-340-5p	221	48404	48404	1913.5	1507.88	5:hsa;hsa-mir-340,180015318,180015339,-	1913.5016906999485	1507.87979652283
hsa-miR-95-3p	264	47371	47371	1872.67	1475.7	4:hsa;hsa-mir-95,8005349,8005370,-	1872.6652464702763	1475.699814913705
hsa-miR-451a	284	46795	46795	1849.89	1457.76	17:hsa;hsa-mir-451a,28861385,28861406,-	1849.8948767933248	1457.7562820900305
hsa-miR-329-3p	584	43692	21846	1727.23	1361.09	14:hsa;hsa-mir-329-2,101027151,101027172,+	863.6137082685538	680.5458646979123
hsa-miR-329-3p	584	43692	21846	1727.23	1361.09	14:hsa;hsa-mir-329-1,101026834,101026855,+	863.6137082685538	680.5458646979123
hsa-miR-1-3p	219	37220	18885	1471.38	1159.48	18:hsa;hsa-mir-1-2,21829056,21829077,-	746.5597766479739	588.3048912762096
hsa-miR-1-3p	203	36670	18335	1449.63	1142.34	20:hsa;hsa-mir-1-1,62554351,62554372,+	724.817236157829	571.1713095869368
hsa-miR-369-3p	182	33160	33160	1310.88	1033	14:hsa;hsa-mir-369,101065641,101065661,+	1310.8775320967336	1032.9992160296058
hsa-let-7d-3p	319	33072	33072	1307.4	1030.26	9:hsa;hsa-let-7d,94178895,94178916,+	1307.3987256183104	1030.2578429593223
hsa-miR-409-3p	414	31845	31845	1258.89	992.03	14:hsa;hsa-mir-409,101065346,101065367,+	1258.8930943793873	992.0343798088902
hsa-miR-140-3p	655	30984	30984	1224.86	965.21	16:hsa;hsa-mir-140,69933142,69933162,+	1224.8561355393604	965.2125364735015
hsa-miR-423-5p	370	30697	30697	1213.51	956.27	17:hsa;hsa-mir-423,30117095,30117117,+	1213.5104825926849	956.2719220283719
hsa-miR-93-5p	323	30534	30534	1207.07	951.19	7:hsa;hsa-mir-93,100093778,100093800,-	1207.0667842292419	951.1941514550056
hsa-miR-22-3p	232	29584	29584	1169.51	921.6	17:hsa;hsa-mir-22,1713955,1713976,-	1169.5114870189918	921.5997830826254
hsa-miR-433-3p	406	29442	29442	1163.9	917.18	14:hsa;hsa-mir-433,100881949,100881970,+	1163.8979583833543	917.1762038101224
hsa-miR-23a-3p	325	28718	28125.5	1135.28	894.62	19:hsa;hsa-mir-23a,13836631,13836651,-	1111.8542228283077	876.164639639345
hsa-miR-342-3p	401	27498	27498	1087.05	856.62	14:hsa;hsa-mir-342,100109715,100109737,+	1087.0479607236423	856.6167805302202
hsa-miR-885-5p	161	27178	27178	1074.4	846.65	3:hsa;hsa-mir-885,10394499,10394520,-	1074.3977553475581	846.6481511837343
hsa-miR-769-5p	388	25197	25197	996.09	784.94	19:hsa;hsa-mir-769,46018961,46018982,+	996.0850776912363	784.9361051356448
hsa-miR-127-3p	566	25100	25100	992.25	781.91	14:hsa;hsa-mir-127,100883035,100883056,+	992.2504841866107	781.9143643649912
hsa-miR-330-3p	537	24799	24799	980.35	772.54	19:hsa;hsa-mir-330,45639050,45639072,-	980.3513847547315	772.5376223859529
hsa-miR-149-5p	270	24439	24439	966.12	761.32	2:hsa;hsa-mir-149,240456015,240456037,+	966.1199037066367	761.3229143711561
hsa-miR-584-5p	358	24133	24133	954.02	751.79	5:hsa;hsa-mir-584,149062328,149062349,-	954.023144815756	751.790412558579
hsa-miR-382-5p	276	23794	23794	940.62	741.23	14:hsa;hsa-mir-382,101054316,101054337,+	940.6218334954668	741.2298958446454
hsa-miR-30a-3p	375	23560	23549	931.37	733.94	6:hsa;hsa-mir-30a,71403597,71403618,-	930.9365200044023	733.5976640012422
hsa-miR-543	251	22625	22625	894.41	704.81	14:hsa;hsa-mir-543,101032033,101032054,+	894.4090519809589	704.8132467632639
hsa-miR-125b-2-3p	456	22156	22156	875.87	690.2	21:hsa;hsa-mir-125b-2,16590290,16590311,+	875.8685947266354	690.2029743773205
hsa-miR-432-5p	488	21580	21580	853.1	672.26	14:hsa;hsa-mir-432,100884496,100884518,+	853.0982250496837	672.2594415536458
hsa-miR-204-5p	259	21381	21378.5	845.23	666.06	9:hsa;hsa-mir-204,70810007,70810028,-	845.1325488519306	665.9823202620305
hsa-miR-495-3p	283	21341	21341	843.65	664.81	14:hsa;hsa-mir-495,101033804,101033825,+	843.6501029094208	664.8141215104891
hsa-miR-340-3p	274	21042	21042	831.83	655.5	5:hsa;hsa-mir-340,180015360,180015381,-	831.830067261142	655.4996834648663
hsa-miR-338-3p	209	20454	20454	808.59	637.18	17:hsa;hsa-mir-338,81125924,81125945,-	808.5853148825871	637.1823270406984
hsa-miR-485-5p	287	20309	20309	802.85	632.67	14:hsa;hsa-mir-485,101055427,101055448,+	802.8531905715489	632.6652918680719
hsa-miR-25-3p	301	20190	20190	798.15	628.96	7:hsa;hsa-mir-25,100093611,100093632,-	798.1488954473176	628.9582078298475
hsa-miR-485-3p	205	19967	19967	789.33	622.01	14:hsa;hsa-mir-485,101055464,101055485,+	789.3332835758589	622.0113192540151
hsa-miR-30e-3p	293	19798	19787.5	782.65	616.75	1:hsa;hsa-mir-30e,40754413,40754434,+	782.2373089977116	616.4195412299706
hsa-miR-335-5p	207	17937	17937	709.08	558.77	7:hsa;hsa-mir-335,130496126,130496148,+	709.0835432213241	558.7728268372449
hsa-miR-148b-3p	267	17178	17172	679.08	535.13	12:hsa;hsa-mir-148b,54337278,54337299,+	678.8416459941227	534.941572305802
hsa-miR-486-5p	286	16757	8506.5	662.44	522.01	8:hsa;hsa-mir-486-1,41660444,41660465,-	336.2780375989404	264.9942047996334
hsa-miR-411-5p	225	16743	16743	661.88	521.58	14:hsa;hsa-mir-411,101023340,101023360,+	661.8824644118097	521.5773785881693
hsa-miR-186-5p	204	16722	16722	661.05	520.92	1:hsa;hsa-mir-186,71067645,71067666,-	661.0522946840042	520.9231872873061
hsa-miR-486-5p	280	16602	8351.5	656.31	517.18	8:hsa;hsa-mir-486-2,41660444,41660465,+	330.1505943698996	260.1656499599292
hsa-miR-27a-3p	278	16307	13266.5	644.65	508	19:hsa;hsa-mir-27a,13836490,13836510,-	524.4498425681941	413.2775663286118
hsa-miR-361-5p	225	15657	15657	618.95	487.75	X:hsa;hsa-mir-361,85903641,85903662,-	618.9508299167237	487.7463427435325
hsa-miR-328-3p	262	15332	15332	606.1	477.62	16:hsa;hsa-mir-328,67202368,67202389,-	606.1029650816381	477.62195356350776
hsa-miR-132-5p	274	14204	14204	561.51	442.48	17:hsa;hsa-mir-132,2049930,2049951,-	561.510991130941	442.48253511714483
hsa-miR-374b-5p	195	14118	14044.5	558.11	439.8	X:hsa;hsa-mir-374b,74218557,74218578,-	555.205654388799	437.5137964272557
hsa-miR-1301-3p	405	14054	14054	555.58	437.81	2:hsa;hsa-mir-1301,25328687,25328710,-	555.5812073609015	437.80974011097953
hsa-miR-370-3p	247	13586	13586	537.08	423.23	14:hsa;hsa-mir-370,100911186,100911207,+	537.0802819983783	423.2306196917438
hsa-miR-744-5p	219	12191	12191	481.93	379.77	17:hsa;hsa-mir-744,12081909,12081930,+	481.93329293701083	379.7736261344067
hsa-miR-30b-5p	173	12081	12081	477.58	376.35	8:hsa;hsa-mir-30b,134800536,134800557,-	477.5847848389819	376.34690979655215
hsa-miR-197-3p	122	11748	11748	464.42	365.97	1:hsa;hsa-mir-197,109598940,109598961,+	464.42066486949415	365.9733048828652
hsa-miR-425-5p	250	11431	11431	451.89	356.1	3:hsa;hsa-mir-425,49020161,49020183,-	451.88905516881067	356.09813143650257
hsa-miR-361-3p	241	11261	11261	445.17	350.8	X:hsa;hsa-mir-361,85903680,85903702,-	445.1686335627659	350.8022970961819
hsa-miR-195-5p	167	10903	10897	431.02	339.65	17:hsa;hsa-mir-195,7017629,7017649,-	430.77902494747	339.46298121455413
hsa-miR-29b-3p	230	10853	5303	429.04	338.09	7:hsa;hsa-mir-29b-1,130877509,130877531,-	209.6376222167967	165.19887945129673
hsa-miR-29b-3p	230	10853	5303	429.04	338.09	1:hsa;hsa-mir-29b-2,207802494,207802516,-	209.6376222167967	165.19887945129673
hsa-miR-126-5p	162	10834	10834	428.29	337.5	9:hsa;hsa-mir-126,136670616,136670636,+	428.28851576405344	337.50040731196475
hsa-miR-185-5p	186	10662	10662	421.49	332.14	22:hsa;hsa-mir-185,20033153,20033174,+	421.4890303744081	332.1422690382285
hsa-miR-598-3p	149	10358	10358	409.47	322.67	8:hsa;hsa-mir-598,11035266,11035287,-	409.47133526712804	322.6720711590669
hsa-miR-504-5p	163	10278	10278	406.31	320.18	X:hsa;hsa-mir-504,138667723,138667744,-	406.308783923107	320.17991382244537
hsa-miR-107	287	9985	5786.83	394.73	311.05	10:hsa;hsa-mir-107,89592796,89592818,-	228.76446919948987	180.27123934340472
hsa-miR-382-3p	131	9711	9711	383.89	302.52	14:hsa;hsa-mir-382,101054352,101054372,+	383.89420127235763	302.51674869914063
hsa-miR-145-5p	142	9497	9497	375.43	295.85	5:hsa;hsa-mir-145,149430661,149430683,+	375.4343764271013	295.85022782367815
hsa-miR-28-3p	102	9169	9169	362.47	285.63	3:hsa;hsa-mir-28,188688834,188688855,+	362.4679159166149	285.63238274353006
hsa-miR-1180-3p	182	9162	9162	362.19	285.41	17:hsa;hsa-mir-1180,19344546,19344567,-	362.19119267401305	285.41431897657566
hsa-miR-652-3p	183	8811	8811	348.32	274.48	X:hsa;hsa-mir-652,110055389,110055409,+	348.3154986521206	274.4799786621489
hsa-miR-139-3p	217	8754	8754	346.06	272.7	11:hsa;hsa-mir-139,72615105,72615127,-	346.0621808195056	272.7043165598061
hsa-miR-3613-5p	55	8231	8231	325.39	256.41	13:hsa;hsa-mir-3613,49996430,49996451,-	325.38700140796783	256.41183797164314
hsa-miR-135a-5p	84	7809	3927.33	308.7	243.27	12:hsa;hsa-mir-135a-2,97563834,97563856,+	155.25491639690105	122.34415725030978
hsa-miR-135a-5p	78	7762	3880.33	306.85	241.8	3:hsa;hsa-mir-135a-1,52294235,52294257,-	153.39691748228867	120.88001481504466
hsa-miR-421	213	7732	7732	305.66	240.87	X:hsa;hsa-mir-421,74218424,74218446,-	305.6605873996364	240.8670065844666
hsa-miR-335-3p	119	7705	7705	304.59	240.03	7:hsa;hsa-mir-335,130496162,130496183,+	304.5932263210293	240.02590348335687
hsa-miR-889-3p	108	7621	7621	301.27	237.41	14:hsa;hsa-mir-889,101047949,101047969,+	301.2725474098072	237.40913827990428
hsa-miR-151b	88	7435	4354.5	293.92	231.61	14:hsa;hsa-mir-151b,100109478,100109495,-	172.14162284424688	135.65123902897824
hsa-miR-28-5p	104	7269	7268.5	287.36	226.44	3:hsa;hsa-mir-28,188688794,188688815,+	287.33755555021435	226.42807001541587
hsa-miR-136-3p	137	7182	7182	283.92	223.73	14:hsa;hsa-mir-136,100884750,100884771,+	283.9180469094916	223.7334248951939
hsa-miR-346	153	7022	7022	277.59	218.75	10:hsa;hsa-mir-346,86264713,86264735,-	277.59294422144944	218.74911022195093
hsa-miR-146a-5p	154	6927	6885	273.84	215.79	5:hsa;hsa-mir-146a,160485372,160485393,+	272.17707504481336	214.48129078298663
hsa-miR-874-3p	170	6775	6775	267.83	211.05	5:hsa;hsa-mir-874,137647618,137647639,-	267.8285669467844	211.0545744451321
hsa-miR-181a-2-3p	161	6328	6328	250.16	197.13	9:hsa;hsa-mir-181a-2,124692518,124692539,+	250.15781131206666	197.12964532675954
hsa-miR-323b-3p	96	6223	6139	246.01	193.86	14:hsa;hsa-mir-323b,101056269,101056290,+	242.68628376181687	191.24192361899128
hsa-miR-29c-3p	175	6144	5683.5	242.88	191.4	1:hsa;hsa-mir-29c,207801905,207801926,-	224.6795070467969	177.0522027836027
hsa-miR-574-3p	120	6018	6018	237.9	187.47	4:hsa;hsa-mir-574,38868092,38868113,+	237.902924853985	187.47253564735126
hsa-miR-99b-3p	192	5631	5631	222.6	175.42	19:hsa;hsa-mir-99b,51692656,51692677,+	222.60408272728307	175.41672453144483
hsa-miR-199a-3p	156	5490	1857.33	217.03	171.02	1:hsa;hsa-mir-199a-2,172144604,172144625,-	73.42390037035564	57.85958616522866
hsa-miR-199a-3p	152	5449	1816.33	215.41	169.75	19:hsa;hsa-mir-199a-1,10817472,10817493,-	71.80309280654484	56.58235553021015
hsa-miR-199b-3p	152	5449	1816.33	215.41	169.75	9:hsa;hsa-mir-199b,128244785,128244806,-	71.80309280654484	56.58235553021015
hsa-miR-145-3p	114	5421	5421	214.3	168.87	5:hsa;hsa-mir-145,149430699,149430720,+	214.30238544922776	168.87481152281345
hsa-let-7b-3p	133	5324	5323	210.47	165.85	22:hsa;hsa-let-7b,46113745,46113766,+	210.42826005280196	165.8219187854521
hsa-miR-363-3p	139	5272	5272	208.41	164.23	X:hsa;hsa-mir-363,134169427,134169448,-	208.41213357098852	164.2331684833559
hsa-miR-656-3p	58	5264	5264	208.1	163.98	14:hsa;hsa-mir-656,101066766,101066786,+	208.09587843658642	163.98395274969377
hsa-miR-454-3p	127	5151	5151	203.63	160.46	17:hsa;hsa-mir-454,59137821,59137843,-	203.62877466315666	160.46378051171592
hsa-miR-152-3p	157	4944	4944	195.45	154.02	17:hsa;hsa-mir-152,48037214,48037234,-	195.44567306050214	154.01532340320782
hsa-let-7a-3p	119	4904	2456.33	193.86	152.77	9:hsa;hsa-let-7a-1,94176013,94176033,+	97.1035035587136	76.5196142231822
hsa-let-7a-3p	118	4895	2447.33	193.51	152.49	22:hsa;hsa-let-7a-3,46112800,46112820,+	96.74771653251122	76.23924652281228
hsa-miR-378a-3p	55	4815	4784	190.35	150	5:hsa;hsa-mir-378a,149732867,149732888,+	189.12057037246	149.03100872996487
hsa-miR-134-5p	172	4806	4806	189.99	149.72	14:hsa;hsa-mir-134,101054694,101054715,+	189.9902719920658	149.71635199753575
hsa-miR-15b-5p	106	4751	4751	187.82	148	3:hsa;hsa-mir-15b,160404607,160404628,+	187.8160179430513	148.00299382860848
hsa-miR-484	158	4699	4699	185.76	146.38	16:hsa;hsa-mir-484,15643301,15643322,+	185.7603595694376	146.3830915598045
hsa-miR-374a-5p	103	4541	4526.5	179.51	141.46	X:hsa;hsa-mir-374a,74287297,74287318,-	178.94110823389218	141.00937730271446
hsa-miR-148a-3p	143	4474	4468	176.87	139.37	7:hsa;hsa-mir-148a,25949962,25949983,-	176.62849256357677	139.18698725030998
hsa-miR-138-5p	163	4371	3579.5	172.79	136.17	3:hsa;hsa-mir-138-1,44114234,44114256,+	141.50440669904276	111.50846483045761
hsa-miR-708-5p	96	4324	4324	170.94	134.7	11:hsa;hsa-mir-708,79402032,79402054,-	170.93590014433883	134.70110404439131
hsa-miR-137-3p	133	4323	4323	170.9	134.67	1:hsa;hsa-mir-137,98046128,98046150,-	170.89636825253857	134.66995207768355
hsa-miR-383-5p	92	4285	4285	169.39	133.49	8:hsa;hsa-mir-383,14853444,14853465,-	169.39415636412858	133.48617734278832
hsa-miR-15a-5p	109	4224	4224	166.98	131.59	13:hsa;hsa-mir-15a,50049132,50049153,-	166.9827109643125	131.58590737361445
hsa-miR-494-3p	78	4148	4148	163.98	129.22	14:hsa;hsa-mir-494,101029681,101029702,+	163.9782871874925	129.21835790382403
