name	unique reads 32152408_EXO_S29 32152408_EXO_S29	32152408_EXO_S29	32152408_EXO_S29 (mult. map. adj.)	PM32152408_EXO_S29(lib)	32152408_EXO_S29 (total)	coordinateString 32152408_EXO_S29 32152408_EXO_S29	32152408_EXO_S29 (lib)	32152408_EXO_S29 (total)
hsa-miR-148a-3p	1	13	13	1577.86	0.69	7:hsa;hsa-mir-148a,25949962,25949983,-	1577.8613909455032	0.6856370121626731
hsa-miR-92b-3p	3	11	11	1335.11	0.58	1:hsa;hsa-mir-92b,155195237,155195258,+	1335.113484646195	0.5801543949068773
hsa-miR-7-5p	1	10	3.33	1213.74	0.53	19:hsa;hsa-mir-7-3,4770700,4770723,+	404.5798438321803	0.17580436209299313
hsa-miR-140-3p	1	10	10	1213.74	0.53	16:hsa;hsa-mir-140,69933142,69933162,+	1213.7395314965408	0.5274130862789793
hsa-miR-7-5p	1	10	3.33	1213.74	0.53	9:hsa;hsa-mir-7-1,83969771,83969794,-	404.5798438321803	0.17580436209299313
hsa-miR-7-5p	1	10	3.33	1213.74	0.53	15:hsa;hsa-mir-7-2,88611856,88611879,+	404.5798438321803	0.17580436209299313
hsa-miR-3960	1	9	9	1092.37	0.47	9:hsa;hsa-mir-3960,127785879,127785898,+	1092.3655783468869	0.47467177765108143
hsa-let-7d-3p	3	9	9	1092.37	0.47	9:hsa;hsa-let-7d,94178895,94178916,+	1092.3655783468869	0.47467177765108143
hsa-miR-6869-3p	1	8	8	970.99	0.42	20:hsa;hsa-mir-6869,1392937,1392957,-	970.9916251972327	0.4219304690231835
hsa-miR-4538	2	8	8	970.99	0.42	14:hsa;hsa-mir-4538,105858165,105858186,-	970.9916251972327	0.4219304690231835
hsa-miR-423-3p	1	8	8	970.99	0.42	17:hsa;hsa-mir-423,30117131,30117153,+	970.9916251972327	0.4219304690231835
hsa-miR-9-5p	4	7	2.33	849.62	0.37	1:hsa;hsa-mir-9-1,156420356,156420378,-	283.20589068252616	0.12306305346509516
hsa-miR-9-5p	4	7	2.33	849.62	0.37	15:hsa;hsa-mir-9-3,89368032,89368054,+	283.20589068252616	0.12306305346509516
hsa-miR-342-3p	2	7	7	849.62	0.37	14:hsa;hsa-mir-342,100109715,100109737,+	849.6176720475786	0.36918916039528554
hsa-miR-9-5p	4	7	2.33	849.62	0.37	5:hsa;hsa-mir-9-2,88666868,88666890,-	283.20589068252616	0.12306305346509516
hsa-miR-3124-5p	1	7	7	849.62	0.37	1:hsa;hsa-mir-3124,248826383,248826403,+	849.6176720475786	0.36918916039528554
hsa-miR-30e-5p	5	6	5	728.24	0.32	1:hsa;hsa-mir-30e,40754371,40754392,+	606.8697657482704	0.26370654313948966
hsa-miR-151a-5p	4	6	5.5	728.24	0.32	8:hsa;hsa-mir-151a,140732574,140732594,-	667.5567423230975	0.29007719745343863
hsa-miR-429	2	6	6	728.24	0.32	1:hsa;hsa-mir-429,1169055,1169076,+	728.2437188979245	0.3164478517673876
hsa-miR-95-3p	1	5	5	606.87	0.26	4:hsa;hsa-mir-95,8005349,8005370,-	606.8697657482704	0.26370654313948966
hsa-miR-12121	1	4	4	485.5	0.21	14:hsa;hsa-mir-12121,104865329,104865349,+	485.49581259861634	0.21096523451159174
hsa-miR-103a-3p	1	3	1.5	364.12	0.16	20:hsa;hsa-mir-103a-2,3917541,3917563,+	182.06092972448113	0.0791119629418469
hsa-miR-103a-3p	1	3	1.5	364.12	0.16	5:hsa;hsa-mir-103a-1,168560943,168560965,-	182.06092972448113	0.0791119629418469
hsa-let-7i-5p	2	2	2	242.75	0.11	12:hsa;hsa-let-7i,62603691,62603712,+	242.74790629930817	0.10548261725579587
hsa-miR-486-5p	2	2	1	242.75	0.11	8:hsa;hsa-mir-486-1,41660444,41660465,-	121.37395314965408	0.052741308627897936
hsa-miR-186-5p	2	2	2	242.75	0.11	1:hsa;hsa-mir-186,71067645,71067666,-	242.74790629930817	0.10548261725579587
hsa-miR-9-3p	1	2	0.67	242.75	0.11	1:hsa;hsa-mir-9-1,156420395,156420416,-	80.91596876643605	0.035160872418598624
hsa-miR-9-3p	1	2	0.67	242.75	0.11	15:hsa;hsa-mir-9-3,89368071,89368092,+	80.91596876643605	0.035160872418598624
hsa-miR-143-3p	2	2	2	242.75	0.11	5:hsa;hsa-mir-143,149428978,149428998,+	242.74790629930817	0.10548261725579587
hsa-miR-9901	1	2	2	242.75	0.11	16:hsa;hsa-mir-9901,34163601,34163621,+	242.74790629930817	0.10548261725579587
hsa-miR-598-3p	2	2	2	242.75	0.11	8:hsa;hsa-mir-598,11035266,11035287,-	242.74790629930817	0.10548261725579587
hsa-miR-28-3p	2	2	2	242.75	0.11	3:hsa;hsa-mir-28,188688834,188688855,+	242.74790629930817	0.10548261725579587
hsa-miR-223-3p	2	2	2	242.75	0.11	X:hsa;hsa-mir-223,66018937,66018958,+	242.74790629930817	0.10548261725579587
hsa-miR-9-3p	1	2	0.67	242.75	0.11	5:hsa;hsa-mir-9-2,88666905,88666926,-	80.91596876643605	0.035160872418598624
hsa-miR-486-5p	2	2	1	242.75	0.11	8:hsa;hsa-mir-486-2,41660444,41660465,+	121.37395314965408	0.052741308627897936
hsa-miR-1260a	2	2	1.5	242.75	0.11	14:hsa;hsa-mir-1260a,77266231,77266248,+	182.06092972448113	0.0791119629418469
hsa-miR-6511b-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511b-1,15134076,15134099,-	6.068697657482705	0.002637065431394897
hsa-miR-124-3p	1	1	0.33	121.37	0.05	20:hsa;hsa-mir-124-3,63178552,63178573,+	40.457984383218026	0.017580436209299312
hsa-miR-101-3p	1	1	0.5	121.37	0.05	9:hsa;hsa-mir-101-2,4850345,4850365,+	60.68697657482704	0.026370654313948968
hsa-miR-29a-3p	1	1	1	121.37	0.05	7:hsa;hsa-mir-29a,130876788,130876809,-	121.37395314965408	0.052741308627897936
hsa-miR-181a-5p	1	1	0.5	121.37	0.05	1:hsa;hsa-mir-181a-1,198859067,198859089,-	60.68697657482704	0.026370654313948968
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-1,16368880,16368902,+	6.068697657482705	0.002637065431394897
hsa-miR-218-5p	1	1	0.5	121.37	0.05	5:hsa;hsa-mir-218-2,168768170,168768190,-	60.68697657482704	0.026370654313948968
hsa-miR-6511b-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511b-2,2106683,2106706,-	6.068697657482705	0.002637065431394897
hsa-miR-192-5p	1	1	1	121.37	0.05	11:hsa;hsa-mir-192,64891160,64891180,-	121.37395314965408	0.052741308627897936
hsa-miR-329-3p	1	1	0.5	121.37	0.05	14:hsa;hsa-mir-329-2,101027151,101027172,+	60.68697657482704	0.026370654313948968
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-4,16324592,16324614,+	6.068697657482705	0.002637065431394897
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-3,16368880,16368902,+	6.068697657482705	0.002637065431394897
hsa-miR-181b-5p	1	1	0.5	121.37	0.05	1:hsa;hsa-mir-181b-1,198858908,198858930,-	60.68697657482704	0.026370654313948968
hsa-miR-128-3p	1	1	0.5	121.37	0.05	3:hsa;hsa-mir-128-2,35744527,35744547,+	60.68697657482704	0.026370654313948968
hsa-miR-6511b-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511b-1,2106679,2106702,-	6.068697657482705	0.002637065431394897
hsa-miR-329-3p	1	1	0.5	121.37	0.05	14:hsa;hsa-mir-329-1,101026834,101026855,+	60.68697657482704	0.026370654313948968
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-2,16324592,16324614,+	6.068697657482705	0.002637065431394897
hsa-miR-181a-5p	1	1	0.5	121.37	0.05	9:hsa;hsa-mir-181a-2,124692480,124692502,+	60.68697657482704	0.026370654313948968
hsa-miR-218-5p	1	1	0.5	121.37	0.05	4:hsa;hsa-mir-218-1,20528299,20528319,+	60.68697657482704	0.026370654313948968
hsa-miR-330-3p	1	1	1	121.37	0.05	19:hsa;hsa-mir-330,45639050,45639072,-	121.37395314965408	0.052741308627897936
hsa-miR-1295a	1	1	1	121.37	0.05	1:hsa;hsa-mir-1295a,171101776,171101796,-	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-2,14925941,14925963,+	6.068697657482705	0.002637065431394897
hsa-miR-484	1	1	1	121.37	0.05	16:hsa;hsa-mir-484,15643301,15643322,+	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-3,16324592,16324614,+	6.068697657482705	0.002637065431394897
hsa-miR-365a-3p	1	1	0.5	121.37	0.05	16:hsa;hsa-mir-365a,14309340,14309361,+	60.68697657482704	0.026370654313948968
hsa-miR-365b-3p	1	1	0.5	121.37	0.05	17:hsa;hsa-mir-365b,31575478,31575499,+	60.68697657482704	0.026370654313948968
hsa-miR-6511b-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511b-2,15134080,15134103,-	6.068697657482705	0.002637065431394897
hsa-miR-151b	1	1	0.5	121.37	0.05	14:hsa;hsa-mir-151b,100109478,100109495,-	60.68697657482704	0.026370654313948968
hsa-miR-101-3p	1	1	0.5	121.37	0.05	1:hsa;hsa-mir-101-1,65058480,65058500,-	60.68697657482704	0.026370654313948968
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-3,14925941,14925963,+	6.068697657482705	0.002637065431394897
hsa-miR-132-3p	1	1	1	121.37	0.05	17:hsa;hsa-mir-132,2049966,2049987,-	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-1,16324592,16324614,+	6.068697657482705	0.002637065431394897
hsa-miR-124-3p	1	1	0.33	121.37	0.05	8:hsa;hsa-mir-124-2,64379210,64379231,+	40.457984383218026	0.017580436209299312
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-1,14925941,14925963,+	6.068697657482705	0.002637065431394897
hsa-miR-28-5p	1	1	1	121.37	0.05	3:hsa;hsa-mir-28,188688794,188688815,+	121.37395314965408	0.052741308627897936
hsa-miR-181b-5p	1	1	0.5	121.37	0.05	9:hsa;hsa-mir-181b-2,124693725,124693747,+	60.68697657482704	0.026370654313948968
hsa-miR-205-5p	1	1	1	121.37	0.05	1:hsa;hsa-mir-205,209432166,209432187,+	121.37395314965408	0.052741308627897936
hsa-miR-302b-3p	1	1	1	121.37	0.05	4:hsa;hsa-mir-302b,112648531,112648553,-	121.37395314965408	0.052741308627897936
hsa-miR-361-5p	1	1	1	121.37	0.05	X:hsa;hsa-mir-361,85903641,85903662,-	121.37395314965408	0.052741308627897936
hsa-miR-128-3p	1	1	0.5	121.37	0.05	2:hsa;hsa-mir-128-1,135665446,135665466,+	60.68697657482704	0.026370654313948968
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-4,14925941,14925963,+	6.068697657482705	0.002637065431394897
hsa-miR-194-5p	1	1	1	121.37	0.05	11:hsa;hsa-mir-194-2,64891369,64891390,-	121.37395314965408	0.052741308627897936
hsa-miR-124-3p	1	1	0.33	121.37	0.05	8:hsa;hsa-mir-124-1,9903440,9903461,-	40.457984383218026	0.017580436209299312
hsa-miR-1260b	1	1	0.5	121.37	0.05	11:hsa;hsa-mir-1260b,96341447,96341465,+	60.68697657482704	0.026370654313948968
hsa-miR-1276	1	1	1	121.37	0.05	15:hsa;hsa-mir-1276,85770507,85770526,-	121.37395314965408	0.052741308627897936
hsa-miR-185-5p	1	1	1	121.37	0.05	22:hsa;hsa-mir-185,20033153,20033174,+	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-1,18344017,18344039,-	6.068697657482705	0.002637065431394897
hsa-miR-197-3p	1	1	1	121.37	0.05	1:hsa;hsa-mir-197,109598940,109598961,+	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-4,18344017,18344039,-	6.068697657482705	0.002637065431394897
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-2,18344017,18344039,-	6.068697657482705	0.002637065431394897
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-2,16368880,16368902,+	6.068697657482705	0.002637065431394897
hsa-miR-532-5p	1	1	1	121.37	0.05	X:hsa;hsa-mir-532,50003167,50003188,+	121.37395314965408	0.052741308627897936
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-3,18344017,18344039,-	6.068697657482705	0.002637065431394897
hsa-miR-6511a-5p	1	1	0.05	121.37	0.05	16:hsa;hsa-mir-6511a-4,16368880,16368902,+	6.068697657482705	0.002637065431394897
hsa-miR-1180-3p	1	1	1	121.37	0.05	17:hsa;hsa-mir-1180,19344546,19344567,-	121.37395314965408	0.052741308627897936
