name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	181023-190319_Brain_S29 (mult. map. adj.)	PM181023-190319_Brain_S29(lib)	181023-190319_Brain_S29 (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	181023-190319_Brain_S29 (total)
hsa-miR-9-3p	1044	591980	201995.67	22764.34	17425.38	1:hsa;hsa-mir-9-1,156420395,156420416,-	7767.65905254397	5945.894748948999
hsa-let-7b-5p	1697	568482	564070.27	21860.74	16733.7	22:hsa;hsa-let-7b,46113691,46113712,+	21691.08667254022	16603.833596817673
hsa-miR-9-3p	905	564985	189007.67	21726.26	16630.76	15:hsa;hsa-mir-9-3,89368071,89368092,+	7268.210933486429	5563.583176261717
hsa-miR-125a-5p	1315	520719	520719	20024.03	15327.76	19:hsa;hsa-mir-125a,51693268,51693291,+	20024.031806862014	15327.756376512847
hsa-miR-125b-5p	1156	517476	259291.33	19899.32	15232.3	11:hsa;hsa-mir-125b-1,122099771,122099792,-	9970.94000009665	7632.435897047195
hsa-miR-125b-5p	1135	516885	258700.33	19876.6	15214.9	21:hsa;hsa-mir-125b-2,16590253,16590274,+	9948.213341768731	7615.03936644524
hsa-let-7c-5p	1138	482089	461943	18538.53	14190.65	21:hsa;hsa-let-7c,16539838,16539859,+	17763.82516728023	13597.640430521678
hsa-miR-181a-5p	1208	391905	195930.75	15070.54	11536.02	1:hsa;hsa-mir-181a-1,198859067,198859089,-	7534.435213507341	5767.369354042093
hsa-miR-181a-5p	1207	391824	195849.75	15067.43	11533.63	9:hsa;hsa-mir-181a-2,124692480,124692502,+	7531.3203923151905	5764.985057969744
hsa-miR-124-3p	1320	381817	127337	14682.61	11239.07	8:hsa;hsa-mir-124-1,9903440,9903461,-	4896.691186974887	3748.260604502635
hsa-miR-124-3p	1317	381733	127253	14679.38	11236.6	20:hsa;hsa-mir-124-3,63178552,63178573,+	4893.461002034879	3745.788001168347
hsa-miR-124-3p	1314	381681	127227	14677.38	11235.07	8:hsa;hsa-mir-124-2,64379210,64379231,+	4892.461182886781	3745.022671564877
hsa-miR-219a-2-3p	1065	376095	376095	14462.58	11070.64	9:hsa;hsa-mir-219a-2,128392679,128392700,-	14462.576250149828	11070.639892964535
hsa-miR-92a-3p	1246	364602	192614.33	14020.62	10732.33	13:hsa;hsa-mir-92a-1,91351361,91351382,+	7406.9037947994775	5669.7481289481875
hsa-miR-27b-3p	907	359947	356165.33	13841.61	10595.31	9:hsa;hsa-mir-27b,95085505,95085525,+	13696.189236744345	10483.995128068736
hsa-miR-7-5p	1094	352336	126563	13548.93	10371.28	15:hsa;hsa-mir-7-2,88611856,88611879,+	4866.927340027628	3725.4773309223824
hsa-miR-92a-3p	1086	346280	174292.33	13316.05	10193.01	X:hsa;hsa-mir-92a-2,134169585,134169606,-	6702.338932051382	5130.426244533622
hsa-miR-7-5p	965	340224	114363	13083.17	10014.75	9:hsa;hsa-mir-7-1,83969771,83969794,-	4397.781432073978	3366.3611323710397
hsa-miR-7-5p	935	339081	113187	13039.22	9981.1	19:hsa;hsa-mir-7-3,4770700,4770723,+	4352.558842913856	3331.7446856910087
hsa-miR-100-5p	967	337232	336944.5	12968.12	9926.68	11:hsa;hsa-mir-100,122152241,122152262,-	12957.060113318734	9918.21540678549
hsa-miR-98-5p	642	293359	290073.02	11281	8635.24	X:hsa;hsa-mir-98,53556244,53556265,-	11154.636784994886	8538.517954725716
hsa-let-7i-5p	756	260842	260122.5	10030.57	7678.08	12:hsa;hsa-let-7i,62603691,62603712,+	10002.902167350268	7656.901914563255
hsa-let-7e-5p	875	218311	212939.17	8395.06	6426.15	19:hsa;hsa-let-7e,51692793,51692814,+	8188.486777436631	6268.0249226249325
hsa-miR-99b-5p	724	218049	218048.5	8384.98	6418.44	19:hsa;hsa-mir-99b,51692618,51692639,+	8384.964058232083	6418.4220016247955
hsa-miR-103a-3p	680	175659	87805.17	6754.89	5170.66	20:hsa;hsa-mir-103a-2,3917541,3917563,+	3376.5110359717028	2584.6112841393724
hsa-miR-103a-3p	656	174561	86708.67	6712.67	5138.33	5:hsa;hsa-mir-103a-1,168560943,168560965,-	3334.345586129803	2552.334979900721
hsa-miR-99a-5p	723	160549	160263	6173.84	4725.88	21:hsa;hsa-mir-99a,16539101,16539122,+	6162.846774293096	4717.462240035563
hsa-miR-26b-5p	486	159917	159805.83	6149.54	4707.28	2:hsa;hsa-mir-26b,218402657,218402677,+	6145.266620939043	4704.005194507882
hsa-miR-487b-3p	643	132146	132145.5	5081.62	3889.82	14:hsa;hsa-mir-487b,101046505,101046526,+	5081.600047499101	3889.8024275136463
hsa-miR-23b-3p	845	130424	129768	5015.4	3839.13	9:hsa;hsa-mir-23b,95085265,95085287,+	4990.174277322068	3819.818922427104
hsa-miR-181b-5p	1086	127049	65550.92	4885.62	3739.78	9:hsa;hsa-mir-181b-2,124693725,124693747,+	2520.733140719457	1929.5406561384598
hsa-miR-191-5p	589	126261	126261	4855.31	3716.59	3:hsa;hsa-mir-191,49020633,49020655,-	4855.314056076703	3716.587733220583
hsa-miR-181b-5p	986	123189	61690.42	4737.18	3626.16	1:hsa;hsa-mir-181b-1,198858908,198858930,-	2372.2792245182227	1815.9039279001436
hsa-miR-151a-5p	199	120104	117904.5	4618.55	3535.35	8:hsa;hsa-mir-151a,140732574,140732594,-	4533.968336419763	3470.607855089903
hsa-miR-29a-3p	724	119616	119519.67	4599.78	3520.99	7:hsa;hsa-mir-29a,130876788,130876809,-	4596.078896446795	3518.1515037259824
hsa-miR-129-5p	697	115212	57861.5	4430.43	3391.35	7:hsa;hsa-mir-129-1,128207876,128207896,+	2225.0398322180417	1703.1968788916827
hsa-miR-129-5p	682	114971	57620.5	4421.16	3384.26	11:hsa;hsa-mir-129-2,43581408,43581428,+	2215.772277806826	1696.1028621825947
hsa-let-7d-5p	580	114082	107989.63	4386.98	3358.09	9:hsa;hsa-let-7d,94178841,94178862,+	4152.696277028556	3178.756279149184
hsa-miR-21-5p	589	113058	113058	4347.6	3327.95	17:hsa;hsa-mir-21,59841273,59841294,+	4347.598201756044	3327.947473427683
hsa-miR-151a-3p	912	98846	98846	3801.08	2909.61	8:hsa;hsa-mir-151a,140732610,140732630,-	3801.081673572661	2909.606537869348
hsa-miR-30c-5p	441	96005	48223.5	3691.83	2825.98	6:hsa;hsa-mir-30c-2,71376966,71376988,-	1854.4145649346583	1419.4950820361219
hsa-miR-30c-5p	438	95624	47842.5	3677.18	2814.76	1:hsa;hsa-mir-30c-1,40757300,40757322,+	1839.7633689567615	1408.2800597698872
hsa-miR-379-5p	525	95439	95439	3670.07	2809.32	14:hsa;hsa-mir-379,101022071,101022091,+	3670.0669105892116	2809.3189240607885
hsa-miR-92b-3p	903	87432	87427.33	3362.16	2573.63	1:hsa;hsa-mir-92b,155195237,155195258,+	3361.981612838775	2573.48947509408
hsa-miR-24-3p	508	86420	43621	3323.25	2543.84	9:hsa;hsa-mir-24-1,95086064,95086085,+	1677.427348430013	1284.0170243449286
hsa-miR-24-3p	488	85598	42799	3291.64	2519.64	19:hsa;hsa-mir-24-2,13836336,13836357,-	1645.8176815170702	1259.8208345736825
hsa-miR-126-3p	574	77256	77256	2970.85	2274.09	9:hsa;hsa-mir-126,136670653,136670674,+	2970.8472348251776	2274.0886094493894
hsa-miR-146b-5p	415	75110	75109	2888.32	2210.92	10:hsa;hsa-mir-146b,102436520,102436542,+	2888.285245941859	2210.8900456551487
hsa-miR-218-5p	592	73658	37263	2832.49	2168.18	4:hsa;hsa-mir-218-1,20528299,20528319,+	1432.9331121374469	1096.8645005425158
hsa-miR-218-5p	554	72969	36574	2805.99	2147.9	5:hsa;hsa-mir-218-2,168768170,168768190,-	1406.4379047128514	1076.5832660505587
hsa-miR-95-3p	265	70106	70106	2695.9	2063.62	4:hsa;hsa-mir-95,8005349,8005370,-	2695.8969690982435	2063.6229684951186
hsa-miR-16-5p	435	69520	34907.83	2673.36	2046.37	13:hsa;hsa-mir-16-1,50048986,50049007,-	1342.3661609722417	1027.538393961518
hsa-miR-16-5p	434	69433	34820.83	2670.02	2043.81	3:hsa;hsa-mir-16-2,160404754,160404775,+	1339.0206122843756	1024.9774833652914
hsa-miR-423-3p	714	68398	68398	2630.22	2013.35	17:hsa;hsa-mir-423,30117131,30117153,+	2630.2165419847324	2013.3467006979306
hsa-miR-320a-3p	637	64572	61748.65	2483.09	1900.73	8:hsa;hsa-mir-320a,22245007,22245028,-	2374.518425708283	1817.617964845864
hsa-miR-132-3p	408	63867	63867	2455.98	1879.97	17:hsa;hsa-mir-132,2049966,2049987,-	2455.9788281373567	1879.9732994162803
hsa-miR-101-3p	532	62611	31823	2407.68	1843	9:hsa;hsa-mir-101-2,4850345,4850365,+	1223.7401826892622	936.7339988933923
hsa-miR-101-3p	507	61578	30790	2367.96	1812.59	1:hsa;hsa-mir-101-1,65058480,65058500,-	1184.0165988436784	906.3268650324467
hsa-miR-30e-5p	509	60830	60178.5	2339.19	1790.58	1:hsa;hsa-mir-30e,40754371,40754392,+	2314.139100146616	1771.3995208624583
hsa-miR-139-5p	396	56646	56646	2178.3	1667.42	11:hsa;hsa-mir-139,72615069,72615091,-	2178.2982870444625	1667.4177199294568
hsa-miR-323a-3p	316	55032	54978	2116.23	1619.91	14:hsa;hsa-mir-323a,101025782,101025802,+	2114.156043235718	1618.3188822914535
hsa-miR-222-3p	653	50587	50587	1945.3	1489.07	X:hsa;hsa-mir-222,45747083,45747103,-	1945.301970955023	1489.0664865669496
hsa-miR-1-3p	254	49950	25258.17	1920.81	1470.32	18:hsa;hsa-mir-1-2,21829056,21829077,-	971.2922568916348	743.4931799761948
hsa-miR-451a	267	49627	49627	1908.39	1460.81	17:hsa;hsa-mir-451a,28861385,28861406,-	1908.3855716406374	1460.808162746516
hsa-miR-338-5p	212	49492	49492	1903.19	1456.83	17:hsa;hsa-mir-338,81125888,81125909,-	1903.194202987052	1456.8343359592675
hsa-miR-1-3p	242	49408	24716.17	1899.96	1454.36	20:hsa;hsa-mir-1-1,62554351,62554372,+	950.4498731120545	727.5390013192417
hsa-miR-340-5p	209	48310	48310	1857.74	1422.04	5:hsa;hsa-mir-340,180015318,180015339,-	1857.7408863312148	1422.0412747553587
hsa-miR-329-3p	595	45610	22805	1753.91	1342.56	14:hsa;hsa-mir-329-2,101027151,101027172,+	876.9567566297527	671.2823695051948
hsa-miR-329-3p	595	45610	22805	1753.91	1342.56	14:hsa;hsa-mir-329-1,101026834,101026855,+	876.9567566297527	671.2823695051948
hsa-miR-221-3p	461	39876	39876	1533.41	1173.78	X:hsa;hsa-mir-221,45746221,45746243,-	1533.41493652129	1173.7801256912583
hsa-miR-433-3p	346	38910	38910	1496.27	1145.35	14:hsa;hsa-mir-433,100881949,100881970,+	1496.2678097111896	1145.3451873469471
hsa-miR-342-3p	408	36554	36554	1405.67	1075.99	14:hsa;hsa-mir-342,100109715,100109737,+	1405.6688130604684	1075.9945509709664
hsa-miR-140-3p	628	35834	35834	1377.98	1054.8	16:hsa;hsa-mir-140,69933142,69933162,+	1377.9815135746792	1054.8008081056412
hsa-miR-22-3p	245	35803	35803	1376.79	1053.89	17:hsa;hsa-mir-22,1713955,1713976,-	1376.7894215134854	1053.888299732273
hsa-miR-584-5p	328	33917	33917	1304.26	998.37	5:hsa;hsa-mir-584,149062328,149062349,-	1304.2640786937654	998.372467726713
hsa-miR-409-3p	378	33241	33241	1278.27	978.47	14:hsa;hsa-mir-409,101065346,101065367,+	1278.268780843219	978.473898036491
hsa-miR-23a-3p	325	32448	31817	1247.77	955.13	19:hsa;hsa-mir-23a,13836631,13836651,-	1223.5094551935472	936.5573843695146
hsa-miR-30a-3p	368	30726	30669.5	1181.56	904.44	6:hsa;hsa-mir-30a,71403597,71403618,-	1179.3828216380707	902.7798566779027
hsa-miR-125b-2-3p	501	30408	30408	1169.33	895.08	21:hsa;hsa-mir-125b-2,16590290,16590311,+	1169.3269482831624	895.0824070122325
hsa-miR-423-5p	274	30244	30244	1163.02	890.25	17:hsa;hsa-mir-423,30117095,30117117,+	1163.0203967336217	890.254943359575
hsa-miR-369-3p	159	29602	29602	1138.33	871.36	14:hsa;hsa-mir-369,101065641,101065661,+	1138.3325546921262	871.3571893046601
hsa-miR-127-3p	517	28135	28135	1081.92	828.17	14:hsa;hsa-mir-127,100883035,100883056,+	1081.919681989831	828.1749382165601
hsa-miR-30e-3p	295	27900	27844.5	1072.88	821.26	1:hsa;hsa-mir-30e,40754413,40754434,+	1070.7486257389673	819.623851685481
hsa-miR-93-5p	281	26275	26275	1010.39	773.42	7:hsa;hsa-mir-93,100093778,100093800,-	1010.3941583182088	773.4244358144701
hsa-miR-485-5p	278	26061	26061	1002.16	767.13	14:hsa;hsa-mir-485,101055427,101055448,+	1002.1648776377104	767.1251844628318
hsa-miR-25-3p	304	25908	25908	996.28	762.62	7:hsa;hsa-mir-25,100093611,100093632,-	996.2813264969802	762.6215141039502
hsa-miR-149-5p	258	25200	25200	969.06	741.78	2:hsa;hsa-mir-149,240456015,240456037,+	969.0554820026208	741.7810002863805
hsa-miR-204-5p	279	23975	23970	921.95	705.72	9:hsa;hsa-mir-204,70810007,70810028,-	921.7563453810644	705.57502289145
hsa-miR-330-3p	446	22085	22085	849.27	650.09	19:hsa;hsa-mir-330,45639050,45639072,-	849.2694571439636	650.0886266398695
hsa-let-7d-3p	234	21458	21458	825.16	631.63	9:hsa;hsa-let-7d,94178895,94178916,+	825.1584338417555	631.632408894649
hsa-miR-769-5p	277	21288	21288	818.62	626.63	19:hsa;hsa-mir-769,46018961,46018982,+	818.6211547964997	626.6283307181138
hsa-miR-340-3p	255	21282	21282	818.39	626.45	5:hsa;hsa-mir-340,180015360,180015381,-	818.3904273007848	626.451716194236
hsa-miR-338-3p	207	21093	21093	811.12	620.89	17:hsa;hsa-mir-338,81125924,81125945,-	811.1225111857651	620.8883586920882
hsa-miR-885-5p	146	20939	20939	805.2	616.36	3:hsa;hsa-mir-885,10394499,10394520,-	805.2005054624158	616.355252579227
hsa-miR-382-5p	206	20364	20364	783.09	599.43	14:hsa;hsa-mir-382,101054316,101054337,+	783.0891204564036	599.4296940409465
hsa-miR-495-3p	216	19724	19724	758.48	580.59	14:hsa;hsa-mir-495,101033804,101033825,+	758.4781875801466	580.5908114939908
hsa-miR-411-5p	184	19521	19521	750.67	574.62	14:hsa;hsa-mir-411,101023340,101023360,+	750.6719073084588	574.6153534361283
hsa-miR-432-5p	375	19410	19410	746.4	571.35	14:hsa;hsa-mir-432,100884496,100884518,+	746.4034486377329	571.3479847443907
hsa-miR-335-5p	171	18894	18894	726.56	556.16	7:hsa;hsa-mir-335,130496126,130496148,+	726.5608840062507	556.1591356909076
hsa-miR-27a-3p	268	18706	15165.33	719.33	550.63	19:hsa;hsa-mir-27a,13836490,13836510,-	583.1765636136407	446.4030210189043
hsa-miR-186-5p	175	17759	17759	682.91	522.75	1:hsa;hsa-mir-186,71067645,71067666,-	682.9149327335136	522.7495549240409
hsa-miR-486-5p	263	16659	8518.5	640.61	490.37	8:hsa;hsa-mir-486-1,41660444,41660465,-	327.57536204124307	250.74847027537825
hsa-miR-486-5p	249	16388	8247.5	630.19	482.39	8:hsa;hsa-mir-486-2,41660444,41660465,+	317.154170151453	242.7713809469017
hsa-miR-29b-3p	261	15662	7695.67	602.28	461.02	1:hsa;hsa-mir-29b-2,207802494,207802516,-	295.9336496427845	226.52775070914902
hsa-miR-29b-3p	261	15662	7695.67	602.28	461.02	7:hsa;hsa-mir-29b-1,130877509,130877531,-	295.9336496427845	226.52775070914902
hsa-miR-328-3p	229	15557	15557	598.24	457.93	16:hsa;hsa-mir-328,67202368,67202389,-	598.2379418061417	457.93202466092146
hsa-miR-148b-3p	226	15457	15445	594.39	454.99	12:hsa;hsa-mir-148b,54337278,54337299,+	593.9310285527968	454.63522021520424
hsa-miR-361-5p	184	14872	14872	571.9	437.77	X:hsa;hsa-mir-361,85903641,85903662,-	571.8965527120229	437.768533184883
hsa-miR-132-5p	240	14811	14811	569.55	435.97	17:hsa;hsa-mir-132,2049930,2049951,-	569.5508231722547	435.97295219212623
hsa-miR-485-3p	160	14707	14707	565.55	432.91	14:hsa;hsa-mir-485,101055464,101055485,+	565.5515465798629	432.91163377824597
hsa-miR-382-3p	144	14611	14611	561.86	430.09	14:hsa;hsa-mir-382,101054352,101054372,+	561.8599066484244	430.0858013962026
hsa-miR-370-3p	220	14428	14428	554.82	424.7	14:hsa;hsa-mir-370,100911186,100911207,+	554.8227180291196	424.69905841793246
hsa-miR-195-5p	173	14402	14391.33	553.82	423.93	17:hsa;hsa-mir-195,7017629,7017649,-	553.4127166664174	423.6197474386798
hsa-miR-543	173	13924	13924	535.44	409.86	14:hsa;hsa-mir-543,101032033,101032054,+	535.4416083890671	409.86343841220486
hsa-miR-889-3p	136	13344	13344	513.14	392.79	14:hsa;hsa-mir-889,101047949,101047969,+	513.1379504699593	392.79070110402625
hsa-miR-28-3p	107	13241	13241	509.18	389.76	3:hsa;hsa-mir-28,188688834,188688855,+	509.1771284601866	389.75881844412555
hsa-miR-425-5p	213	13101	13101	503.79	385.64	3:hsa;hsa-mir-425,49020161,49020183,-	503.7934868935054	385.637812886979
hsa-miR-361-3p	230	12439	12439	478.34	366.15	X:hsa;hsa-mir-361,85903680,85903702,-	478.336553199627	366.1513437524717
hsa-miR-145-5p	147	12401	12401	476.88	365.03	5:hsa;hsa-mir-145,149430661,149430683,+	476.8752790600993	365.0327851012462
hsa-miR-1301-3p	290	12377	12377	475.95	364.33	2:hsa;hsa-mir-1301,25328687,25328710,-	475.9523690772396	364.3263270057354
hsa-miR-374b-5p	173	12365	12265.5	475.49	363.97	X:hsa;hsa-mir-374b,74218557,74218578,-	471.66468311520424	361.04424043700794
hsa-miR-197-3p	90	11735	11735	451.26	345.43	1:hsa;hsa-mir-197,109598940,109598961,+	451.26452703574427	345.4285729508204
hsa-miR-135a-5p	96	11619	5854	446.8	342.01	12:hsa;hsa-mir-135a-2,97563834,97563856,+	225.11312665251359	172.31690379668538
hsa-miR-135a-5p	88	11526	5761	443.23	339.28	3:hsa;hsa-mir-135a-1,52294235,52294257,-	221.5368504689325	169.57937867658086
hsa-miR-30b-5p	137	11305	11305	434.73	332.77	8:hsa;hsa-mir-30b,134800536,134800557,-	434.72905650950906	332.7711987395846
hsa-miR-652-3p	168	10227	10227	393.28	301.04	X:hsa;hsa-mir-652,110055389,110055409,+	393.27501644606366	301.0394559495561
hsa-miR-185-5p	143	9924	9924	381.62	292.12	22:hsa;hsa-mir-185,20033153,20033174,+	381.6232779124607	292.1204224937317
hsa-miR-126-5p	140	9639	9639	370.66	283.73	9:hsa;hsa-mir-126,136670616,136670636,+	370.6637218660025	283.73123260954054
hsa-miR-146a-5p	142	9165	9164	352.44	269.78	5:hsa;hsa-mir-146a,160485372,160485393,+	352.39779512190546	269.74924946922187
hsa-miR-598-3p	123	8740	8740	336.09	257.27	8:hsa;hsa-mir-598,11035266,11035287,-	336.0930520913852	257.2684897818637
hsa-miR-874-3p	179	8542	8542	328.48	251.44	5:hsa;hsa-mir-874,137647618,137647639,-	328.47904473279317	251.4402104938993
hsa-miR-3613-5p	51	8352	8352	321.17	245.85	13:hsa;hsa-mir-3613,49996430,49996451,-	321.17267403515433	245.84741723777182
hsa-miR-1180-3p	135	8206	8206	315.56	241.55	17:hsa;hsa-mir-1180,19344546,19344567,-	315.5583049727582	241.54979715674756
hsa-miR-29c-3p	176	8189	7646	314.9	241.05	1:hsa;hsa-mir-29c,207801905,207801926,-	294.02373870603327	225.06577492816132
hsa-miR-136-3p	135	7938	7938	305.25	233.66	14:hsa;hsa-mir-136,100884750,100884771,+	305.2524768308256	233.66101509020984
hsa-miR-335-3p	109	7637	7637	293.68	224.8	7:hsa;hsa-mir-335,130496162,130496183,+	293.6776474624609	224.80085314234475
hsa-miR-140-5p	138	7412	7412	285.03	218.18	16:hsa;hsa-mir-140,69933103,69933124,+	285.0253663731518	218.17780849693065
hsa-miR-145-3p	135	7383	7383	283.91	217.32	5:hsa;hsa-mir-145,149430699,149430720,+	283.9101834771964	217.32417163152172
hsa-miR-504-5p	113	7222	7222	277.72	212.59	X:hsa;hsa-mir-504,138667723,138667744,-	277.718995675513	212.58501524080316
hsa-miR-139-3p	164	6958	6958	267.57	204.81	11:hsa;hsa-mir-139,72615105,72615127,-	267.56698586405696	204.81397619018395
hsa-miR-744-5p	113	6378	6378	245.26	187.74	17:hsa;hsa-mir-744,12081909,12081930,+	245.26332794494905	187.74123888200535
hsa-miR-107	192	6343	3762.17	243.92	186.71	10:hsa;hsa-mir-107,89592796,89592818,-	144.67254891035185	110.74221243032075
hsa-miR-363-3p	138	6194	6194	238.19	182.33	X:hsa;hsa-mir-363,134169427,134169448,-	238.18768474302513	182.3250601497556
hsa-miR-421	143	6113	6113	235.07	179.94	X:hsa;hsa-mir-421,74218424,74218446,-	235.07286355087388	179.9407640774065
hsa-miR-15a-5p	115	6086	6086	234.03	179.15	13:hsa;hsa-mir-15a,50049132,50049153,-	234.03458982015678	179.14599871995682
hsa-miR-181a-2-3p	143	5879	5879	226.07	173.05	9:hsa;hsa-mir-181a-2,124692518,124692539,+	226.07449121799237	173.05279764617583
hsa-miR-574-3p	105	5851	5851	225	172.23	4:hsa;hsa-mir-574,38868092,38868113,+	224.99776290465613	172.22859653474652
hsa-miR-346	111	5849	5849	224.92	172.17	10:hsa;hsa-mir-346,86264713,86264735,-	224.92085373941782	172.1697250267873
hsa-miR-99b-3p	171	5848	5848	224.88	172.14	19:hsa;hsa-mir-99b,51692656,51692677,+	224.88239915679867	172.14028927280765
hsa-miR-28-5p	68	5821	5821	223.84	171.35	3:hsa;hsa-mir-28,188688794,188688815,+	223.84412542608158	171.34552391535797
hsa-miR-151b	67	5518	3318.5	212.19	162.43	14:hsa;hsa-mir-151b,100109478,100109495,-	127.61153242165466	97.68254958136323
hsa-miR-148a-3p	125	5436	5424	209.04	160.01	7:hsa;hsa-mir-148a,25949962,25949983,-	208.57765612627838	159.65952958544952
hsa-miR-625-3p	143	5373	5373	206.62	158.16	14:hsa;hsa-mir-625,65471153,65471174,+	206.61647241270165	158.15830613248897
hsa-miR-203a-3p	106	5149	5149	198	151.56	14:hsa;hsa-mir-203a,104117469,104117490,+	198.0026459060117	151.5646972410545
hsa-miR-323b-3p	97	5144	5090	197.81	151.42	14:hsa;hsa-mir-323b,101056269,101056290,+	195.73382553148176	149.82798775625702
hsa-let-7b-3p	113	5110	5109	196.5	150.42	22:hsa;hsa-let-7b,46113745,46113766,+	196.46446260124563	150.38726708186977
hsa-miR-137-3p	129	5065	5065	194.77	149.09	1:hsa;hsa-mir-137,98046128,98046150,-	194.77246096600297	149.09209390676656
hsa-miR-656-3p	51	4786	4786	184.04	140.88	14:hsa;hsa-mir-656,101066766,101066786,+	184.04363241525965	140.87951854645306
hsa-miR-628-3p	120	4774	4774	183.58	140.53	15:hsa;hsa-mir-628,55373000,55373020,-	183.58217742382985	140.52628949869762
hsa-miR-152-3p	117	4723	4723	181.62	139.03	17:hsa;hsa-mir-152,48037214,48037234,-	181.62099371025312	139.0250660457371
hsa-miR-129-1-3p	76	4640	4551	178.43	136.58	7:hsa;hsa-mir-129-1,128207920,128207941,+	175.00680549975903	133.96211636124275
hsa-miR-1249-3p	138	4604	4604	177.04	135.52	22:hsa;hsa-mir-1249,45200994,45201015,-	177.04489837857406	135.52221132216252
hsa-miR-374a-5p	85	4479	4470.5	172.24	131.84	X:hsa;hsa-mir-374a,74287297,74287318,-	171.91121159891733	131.5925381658835
hsa-miR-365b-3p	81	4339	2169.5	166.85	127.72	17:hsa;hsa-mir-365b,31575478,31575499,+	83.42721699224944	63.86086825878184
hsa-miR-365a-3p	81	4339	2169.5	166.85	127.72	16:hsa;hsa-mir-365a,14309340,14309361,+	83.42721699224944	63.86086825878184
hsa-miR-212-5p	90	4325	4325	166.32	127.31	17:hsa;hsa-mir-212,2050301,2050323,-	166.31606982783077	127.30963596184903
hsa-miR-320b	111	4247	1170.48	163.32	125.01	1:hsa;hsa-mir-320b-2,224257080,224257101,-	45.01031070821153	34.453954309550696
hsa-miR-320b	104	4206	1130.98	161.74	123.81	1:hsa;hsa-mir-320b-1,116671787,116671808,+	43.49135469475504	33.29124202735578
hsa-miR-708-5p	67	4030	4030	154.97	118.63	11:hsa;hsa-mir-708,79402032,79402054,-	154.97196795518104	118.62608853786165
hsa-miR-454-3p	96	3971	3971	152.7	116.89	17:hsa;hsa-mir-454,59137821,59137843,-	152.7031475806511	116.88937905306416
hsa-miR-501-3p	84	3897	3890.33	149.86	114.71	X:hsa;hsa-mir-501,50009772,50009793,+	149.60114458270618	114.51489489870829
hsa-miR-223-3p	102	3873	3873	148.93	114	X:hsa;hsa-mir-223,66018937,66018958,+	148.93459848397424	114.00467516306158
